State,State_abb,ECV,trump_lead
Alaska,AK,3,7
Alabama,AL,9,19.6
Arkansas,AR,6,24.5
Arizona,AZ,11,-3
California,CA,55,-28.9
Colorado,CO,9,-12
Connecticut,CT,7,-25
District of Columbia,DC,3,-86.8
Delaware,DE,3,-21
Florida,FL,29,-3
Georgia,GA,16,-1.5
Hawaii,HI,4,-34
Iowa,IA,6,1
Idaho,ID,4,21.6
Illinois,IL,20,-16.4
Indiana,IN,11,10.7
Kansas,KS,6,14
Kentucky,KY,8,13.5
Louisiana,LA,8,21
Massachusetts,MA,11,-35
Maryland,MD,10,-33
Maine,ME,4,-13
Michigan,MI,16,-7.5
Minnesota,MN,10,-9.3
Missouri,MO,10,9.7
Mississippi,MS,6,14
Montana,MT,3,5.5
North Carolina,NC,15,-2
North Dakota,ND,3,17
Nebraska,NE,5,15.6
New Hampshire,NH,4,-8
New Jersey,NJ,14,-19.4
New Mexico,NM,5,-13
Nevada,NV,6,-6
New York,NY,29,-28
Ohio,OH,18,2.8
Oklahoma,OK,7,22
Oregon,OR,7,-20
Pennsylvania,PA,20,-5
Rhode Island,RI,4,-26
South Carolina,SC,9,7.5
South Dakota,SD,3,15
Tennessee,TN,11,9
Texas,TX,38,2.7
Utah,UT,6,10
Virginia,VA,13,-12
Vermont,VT,3,-30
Washington,WA,12,-23
Wisconsin,WI,10,-8.5
West Virginia,WV,5,20.1
Wyoming,WY,3,30.5
