dem_ev,sims
157,1
167,1
171,1
173,1
180,3
182,1
184,1
186,5
187,7
188,1
191,30
193,13
194,3
195,5
196,7
197,16
199,4
200,37
201,5
202,22
204,58
206,42
207,6
208,16
209,21
210,36
211,5
212,4
213,104
214,20
215,23
216,18
217,70
218,19
219,73
220,34
221,12
222,8
223,121
224,20
225,12
226,17
227,130
228,5
229,85
230,30
231,20
232,7
233,145
234,21
235,46
236,13
237,84
238,17
239,81
240,44
241,11
242,16
243,156
244,81
245,46
246,21
247,20
248,53
249,100
250,35
251,16
252,42
253,196
254,72
255,48
256,35
257,79
258,42
259,183
260,45
261,22
262,61
263,136
264,69
265,52
266,43
267,22
268,104
269,128
270,132
271,34
272,58
273,436
274,123
275,90
276,47
277,27
278,68
279,604
280,62
281,21
282,79
283,48
284,119
285,75
286,51
287,15
288,326
289,94
290,602
291,30
292,82
293,69
294,386
295,122
296,88
297,76
298,106
299,153
300,89
301,38
302,230
303,114
304,260
305,196
306,164
307,49
308,950
309,112
310,359
311,111
312,77
313,100
314,138
315,101
316,73
317,254
318,83
319,2231
320,32
321,196
322,92
323,822
324,178
325,272
326,66
327,73
328,325
329,245
330,80
331,49
332,94
333,194
334,1269
335,429
336,17
337,278
338,17
339,825
340,500
341,254
342,42
343,328
344,68
345,224
346,131
347,239
348,88
349,31
350,1247
351,57
352,504
353,126
354,30
355,50
356,439
357,1243
358,1131
359,222
360,59
361,354
362,64
363,527
364,33
365,43
366,92
367,43
368,811
369,16
370,20
371,61
372,698
373,269
374,2083
375,151
376,24
377,592
378,267
379,35
380,69
381,164
382,23
383,234
384,152
385,25
386,73
387,72
388,940
389,29
390,236
391,104
392,19
393,103
394,360
395,48
396,572
397,141
398,4
399,326
400,8
401,40
402,35
403,12
404,9
405,21
406,546
407,13
408,12
409,66
410,15
411,6
412,1579
413,5
414,2
415,713
416,5
418,79
419,2
420,6
421,186
422,55
423,2
424,87
425,101
426,2
427,36
428,38
429,8
430,18
431,60
432,4
433,8
434,86
435,13
436,4
437,32
438,2
439,6
440,22
441,1
442,3
443,32
444,1
445,13
446,1
448,14
449,1
451,7
454,8
457,2
459,2
460,2
462,2
466,1
468,2
469,1
476,1
479,1
480,1
