state,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
ID,0.6677,0.5469,0.6127,0.5065,0.2054,0.6211,0.3503,0.1679,0.4313,0.4432,0.3729,0.1923,0.7744,1,0.3854,0.7622,0.7674,0.7431,0.4648,0.3491,0.2137,0.6395,0.7053,0.7392,0.7516,0.3972,0.7508,0.6077,0.7596,0.7536,0.6302,0.2136,0.2219,0.3617,0.221,0.7355,0.6516,0.6965,0.6874,0.462,0.5465,0.7309,0.6484,0.2665,0.633,0.5147,0.5039,0.6091,0.7362,0.7123,0.73
IL,0.2281,0.1716,0.1984,0.5235,0.3093,0.5085,0.608,0.1318,0.5997,0.5573,0.2247,0.1308,0.4569,0.3854,1,0.4076,0.3345,0.3369,0.2359,0.608,0.4055,0.4841,0.5818,0.5367,0.4062,0.1728,0.3896,0.3071,0.337,0.4194,0.5309,0.5594,0.1917,0.5397,0.5976,0.5464,0.1702,0.5238,0.6257,0.6848,0.2605,0.305,0.2542,0.2057,0.4728,0.5177,0.4506,0.6153,0.5589,0.3198,0.2632
IN,0.6172,0.6669,0.7086,0.4672,0.2201,0.5824,0.3435,0.165,0.526,0.5016,0.5399,0.2031,0.8108,0.7622,0.4076,1,0.7996,0.8232,0.6135,0.3284,0.2283,0.665,0.7901,0.763,0.8315,0.5464,0.7685,0.764,0.7597,0.7337,0.6355,0.2308,0.2362,0.3541,0.2334,0.8134,0.6904,0.7065,0.7411,0.451,0.7037,0.7395,0.7572,0.2519,0.5596,0.6026,0.5099,0.5912,0.7734,0.7761,0.7285
KS,0.6838,0.6342,0.7013,0.4429,0.22,0.6493,0.3026,0.1717,0.3982,0.4099,0.4472,0.2112,0.7839,0.7674,0.3345,0.7996,1,0.8166,0.5171,0.3134,0.2177,0.6253,0.702,0.7556,0.8021,0.4822,0.7774,0.7086,0.7815,0.7276,0.6159,0.218,0.2294,0.2794,0.2234,0.7385,0.7344,0.7124,0.6726,0.3993,0.6321,0.761,0.7453,0.2438,0.5724,0.5684,0.4877,0.5824,0.7216,0.7593,0.7591
KY,0.6335,0.7125,0.751,0.4195,0.2252,0.5428,0.2947,0.1743,0.4866,0.4791,0.5534,0.2071,0.7874,0.7431,0.3369,0.8232,0.8166,1,0.6259,0.2662,0.2262,0.6535,0.7505,0.7276,0.828,0.582,0.7727,0.7939,0.7616,0.7012,0.6131,0.2201,0.2284,0.2971,0.2222,0.7791,0.7354,0.676,0.7008,0.388,0.7362,0.7537,0.7945,0.2447,0.4963,0.5763,0.4909,0.5344,0.73740000000000006,0.7976,0.7488
LA,0.2991,0.7389,0.633,0.2505,0.2256,0.2328,0.2105,0.1587,0.5047,0.3886,0.797,0.2214,0.5232,0.4648,0.2359,0.6135,0.5171,0.6259,1,0.2171,0.2724,0.4141,0.5961,0.4386,0.6311,0.7532,0.4725,0.7406,0.4955,0.4432,0.3512,0.2177,0.2237,0.2484,0.2179,0.6075,0.5335,0.3397,0.5018,0.2075,0.7844,0.4779,0.6595,0.2444,0.2971,0.4965,0.2794,0.2379,0.49,0.5773,0.4801
MA,0.2236,0.1986,0.1869,0.4865,0.3124,0.5965,0.7447,0.2147,0.5234,0.4728,0.2299,0.2008,0.4471,0.3491,0.608,0.3284,0.3134,0.2662,0.2171,1,0.4249,0.5539,0.5158,0.5626,0.3547,0.2122,0.4238,0.2457,0.3374,0.4037,0.623,0.6518,0.2306,0.4375,0.6039,0.4848,0.1756,0.5267,0.5867,0.6655,0.2292,0.3049,0.2007,0.2154,0.4561,0.5521,0.5857,0.6404,0.5515,0.2855,0.2705
MD,0.2075,0.2166,0.2041,0.2361,0.2263,0.2429,0.4269,0.5056,0.4803,0.375,0.3385,0.1888,0.2358,0.2137,0.4055,0.2283,0.2177,0.2262,0.2724,0.4249,1,0.2472,0.3091,0.2472,0.2318,0.2195,0.2275,0.2419,0.2146,0.2144,0.2768,0.5085,0.2111,0.2486,0.5518,0.268,0.2034,0.2264,0.3307,0.3466,0.2352,0.2055,0.2162,0.2223,0.2427,0.4165,0.2758,0.2402,0.2552,0.2152,0.1926
ME,0.4957,0.499,0.5226,0.4692,0.229,0.5723,0.6174,0.1657,0.6465,0.6076,0.3225,0.2059,0.7855,0.6395,0.4841,0.665,0.6253,0.6535,0.4141,0.5539,0.2472,1,0.786,0.7811,0.7056,0.3631,0.7879,0.613,0.646,0.6528,0.8415,0.3772,0.2404,0.3604,0.3047,0.7682,0.4594,0.7242,0.7994,0.6103,0.5614,0.6537,0.5516,0.2399,0.4382,0.6506,0.7763,0.6674,0.8283,0.685,0.6244
MI,0.4878,0.6117,0.6159,0.5142,0.2421,0.5867,0.561,0.1695,0.7227,0.6657,0.5242,0.2079,0.8208,0.7053,0.5818,0.7901,0.702,0.7505,0.5961,0.5158,0.3091,0.786,1,0.8134,0.8083,0.4943,0.7702,0.7393,0.689,0.7115,0.7656,0.38,0.2386,0.4489,0.3707,0.8799,0.5485,0.7446,0.8692,0.6175,0.6925,0.6773,0.6748,0.2544,0.5412,0.7254,0.6565,0.6761,0.8575,0.7375,0.6506
MN,0.5819,0.515,0.5707,0.5135,0.2367,0.7272,0.5507,0.165,0.5785,0.5216,0.3591,0.2056,0.8349,0.7392,0.5367,0.763,0.7556,0.7276,0.4386,0.5626,0.2472,0.7811,0.8134,1,0.7845,0.3667,0.8022,0.6393,0.7405,0.7493,0.8,0.3506,0.2333,0.3718,0.329,0.8253,0.5593,0.7985,0.8212,0.61240000000000006,0.5591,0.7121,0.6311,0.2452,0.6274,0.7051,0.6892,0.7452,0.8527,0.7033,0.6793
MO,0.5824,0.6923,0.7096,0.4362,0.2268,0.5804,0.3758,0.1659,0.5542,0.5127,0.5585,0.2097,0.8229,0.7516,0.4062,0.8315,0.8021,0.828,0.6311,0.3547,0.2318,0.7056,0.8083,0.7845,1,0.5659,0.7964,0.796,0.7598,0.7299,0.6731,0.2344,0.2377,0.3189,0.2354,0.8319,0.6815,0.7087,0.7626,0.457,0.7387,0.7395,0.7712,0.2515,0.5332,0.666,0.5506,0.5848,0.7872,0.7911,0.7324
MS,0.2983,0.7233,0.6151,0.2273,0.2363,0.2214,0.206,0.1366,0.3856,0.3099,0.7632,0.1835,0.4639,0.3972,0.1728,0.5464,0.4822,0.582,0.7532,0.2122,0.2195,0.3631,0.4943,0.3667,0.5659,1,0.4399,0.7018,0.4353,0.3593,0.2906,0.24,0.2197,0.228,0.2436,0.5071,0.5413,0.2982,0.4001,0.1939,0.7338,0.4407,0.6241,0.2192,0.2157,0.3989,0.2399,0.223,0.4082,0.5413,0.4415
MT,0.6414,0.5991,0.6497,0.4643,0.2211,0.6241,0.4609,0.1667,0.53,0.5114,0.3833,0.205,0.845,0.7508,0.3896,0.7685,0.7774,0.7727,0.4725,0.4238,0.2275,0.7879,0.7702,0.8022,0.7964,0.4399,1,0.6895,0.7599,0.7279,0.7612,0.2461,0.2421,0.3069,0.2327,0.7823,0.6331,0.7481,0.755,0.5059,0.621,0.7625,0.6757,0.2568,0.5052,0.6188,0.6707,0.6395,0.8106,0.7754,0.7448
NC,0.4492,0.7872,0.7418,0.2836,0.2381,0.3973,0.2814,0.1699,0.5591,0.5,0.7043,0.2164,0.7078,0.6077,0.3071,0.764,0.7086,0.7939,0.7406,0.2457,0.2419,0.613,0.7393,0.6393,0.796,0.7018,0.6895,1,0.6422,0.582,0.5522,0.2276,0.2284,0.2569,0.2284,0.7551,0.6556,0.5618,0.6659,0.3231,0.849,0.6476,0.7967,0.2434,0.3289,0.6368,0.4551,0.4055,0.6662,0.7524,0.641
ND,0.6758,0.587,0.656,0.4254,0.2162,0.5938,0.3317,0.1596,0.4192,0.3673,0.4012,0.218,0.773,0.7596,0.337,0.7597,0.7815,0.7616,0.4955,0.3374,0.2146,0.646,0.689,0.7405,0.7598,0.4353,0.7599,0.6422,1,0.7328,0.6355,0.2124,0.2232,0.2722,0.2108,0.718,0.6616,0.664,0.6582,0.427,0.5815,0.7544,0.6829,0.2352,0.6101,0.5353,0.5357,0.5728,0.7279,0.7195,0.7497
NE,0.6051,0.5059,0.5617,0.484,0.1966,0.6245,0.3954,0.1596,0.4606,0.4415,0.358,0.1912,0.7581,0.7536,0.4194,0.7337,0.7276,0.7012,0.4432,0.4037,0.2144,0.6528,0.7115,0.7493,0.7299,0.3593,0.7279,0.582,0.7328,1,0.6542,0.2385,0.2157,0.3491,0.2278,0.7365,0.5761,0.691,0.702,0.4955,0.5227,0.69,0.6076,0.2323,0.6291,0.5551,0.5354,0.6228,0.7437,0.6687,0.6922
NH,0.4808,0.4358,0.4681,0.4869,0.2393,0.6427,0.6622,0.161,0.6319,0.5948,0.2686,0.2104,0.7562,0.6302,0.5309,0.6355,0.6159,0.6131,0.3512,0.623,0.2768,0.8415,0.7656,0.8,0.6731,0.2906,0.7612,0.5522,0.6355,0.6542,1,0.4324,0.2287,0.369,0.3657,0.7489,0.43,0.739,0.8028,0.6486,0.4915,0.6295,0.5138,0.2315,0.4948,0.6784,0.7754,0.7063,0.8178,0.6407,0.6028
NJ,0.1877,0.2115,0.2031,0.5219,0.5025,0.4321,0.6335,0.2846,0.4441,0.5562,0.2508,0.3823,0.2552,0.2136,0.5594,0.2308,0.218,0.2201,0.2177,0.6518,0.5085,0.3772,0.38,0.3506,0.2344,0.24,0.2461,0.2276,0.2124,0.2385,0.4324,1,0.3896,0.5603,0.7676,0.3383,0.1899,0.3821,0.4554,0.568,0.2193,0.2117,0.2065,0.2512,0.3075,0.3794,0.3853,0.4944,0.3717,0.2194,0.1971
NM,0.3545,0.22,0.2088,0.5839,0.6422,0.2485,0.2728,0.153,0.2097,0.4037,0.2561,0.688,0.243,0.2219,0.1917,0.2362,0.2294,0.2284,0.2237,0.2306,0.2111,0.2404,0.2386,0.2333,0.2377,0.2197,0.2421,0.2284,0.2232,0.2157,0.2287,0.3896,1,0.5667,0.3325,0.235,0.2039,0.2556,0.2367,0.2661,0.2295,0.2212,0.2147,0.5732,0.2132,0.2105,0.2294,0.3096,0.2424,0.2242,0.2185
NV,0.3615,0.2261,0.2293,0.8004,0.6142,0.415,0.4495,0.1568,0.3989,0.634,0.2457,0.4467,0.3542,0.3617,0.5397,0.3541,0.2794,0.2971,0.2484,0.4375,0.2486,0.3604,0.4489,0.3718,0.3189,0.228,0.3069,0.2569,0.2722,0.3491,0.369,0.5603,0.5667,1,0.6002,0.4305,0.2881,0.4418,0.4847,0.5284,0.2517,0.2773,0.2418,0.5969,0.4436,0.248,0.2884,0.5367,0.4337,0.3049,0.2672
NY,0.1861,0.2074,0.1985,0.5273,0.5429,0.4126,0.5575,0.3398,0.4378,0.5227,0.2566,0.336,0.244,0.221,0.5976,0.2334,0.2234,0.2222,0.2179,0.6039,0.5518,0.3047,0.3707,0.329,0.2354,0.2436,0.2327,0.2284,0.2108,0.2278,0.3657,0.7676,0.3325,0.6002,1,0.3347,0.2039,0.3498,0.4345,0.5516,0.2175,0.2036,0.2097,0.3102,0.3574,0.3638,0.3019,0.4735,0.3454,0.2181,0.1933
OH,0.5218,0.6298,0.6403,0.5108,0.233,0.6105,0.5116,0.166,0.6722,0.6295,0.5287,0.202,0.8331,0.7355,0.5464,0.8134,0.7385,0.7791,0.6075,0.4848,0.268,0.7682,0.8799,0.8253,0.8319,0.5071,0.7823,0.7551,0.718,0.7365,0.7489,0.3383,0.235,0.4305,0.3347,1,0.5896,0.7539,0.8557,0.5857,0.6989,0.6984,0.7046,0.2519,0.575,0.713,0.6283,0.6751,0.856,0.7578,0.6796
OK,0.6508,0.6672,0.7099,0.409,0.2149,0.4815,0.1731,0.1539,0.2668,0.3733,0.4699,0.1826,0.6235,0.6516,0.1702,0.6904,0.7344,0.7354,0.5335,0.1756,0.2034,0.4594,0.5485,0.5593,0.6815,0.5413,0.6331,0.6556,0.6616,0.5761,0.43,0.1899,0.2039,0.2881,0.2039,0.5896,1,0.5583,0.5144,0.2157,0.6104,0.657,0.7158,0.3469,0.4379,0.3884,0.3002,0.3954,0.5462,0.6858,0.675
OR,0.5922,0.4504,0.5302,0.5789,0.2247,0.7129,0.5275,0.1629,0.5129,0.5865,0.2697,0.1864,0.7682,0.6965,0.5238,0.7065,0.7124,0.676,0.3397,0.5267,0.2264,0.7242,0.7446,0.7985,0.7087,0.2982,0.7481,0.5618,0.664,0.691,0.739,0.3821,0.2556,0.4418,0.3498,0.7539,0.5583,1,0.7767,0.6014,0.4776,0.6589,0.5717,0.2359,0.5579,0.5947,0.6135,0.739,0.7907,0.6628,0.629
PA,0.4768,0.5373,0.554,0.5541,0.2501,0.6429,0.6278,0.1703,0.7197,0.7129,0.4311,0.204,0.7915,0.6874,0.6257,0.7411,0.6726,0.7008,0.5018,0.5867,0.3307,0.7994,0.8692,0.8212,0.7626,0.4001,0.755,0.6659,0.6582,0.702,0.8028,0.4554,0.2367,0.4847,0.4345,0.8557,0.5144,0.7767,1,0.6714,0.6138,0.6488,0.6178,0.25,0.5534,0.7291,0.6805,0.7235,0.8571,0.7022,0.6268
RI,0.3369,0.2048,0.2449,0.5721,0.2903,0.5846,0.696,0.1179,0.5884,0.5829,0.2128,0.1683,0.5363,0.462,0.6848,0.451,0.3993,0.388,0.2075,0.6655,0.3466,0.6103,0.6175,0.61240000000000006,0.457,0.1939,0.5059,0.3231,0.427,0.4955,0.6486,0.568,0.2661,0.5284,0.5516,0.5857,0.2157,0.6014,0.6714,1,0.2772,0.4055,0.2929,0.2048,0.5051,0.5349,0.5905,0.7112,0.6388,0.4038,0.3735
SC,0.3717,0.8016,0.7195,0.2618,0.2454,0.2954,0.2419,0.1652,0.5506,0.4852,0.7453,0.2231,0.6358,0.5465,0.2605,0.7037,0.6321,0.7362,0.7844,0.2292,0.2352,0.5614,0.6925,0.5591,0.7387,0.7338,0.621,0.849,0.5815,0.5227,0.4915,0.2193,0.2295,0.2517,0.2175,0.6989,0.6104,0.4776,0.6138,0.2772,1,0.5837,0.759,0.2474,0.2777,0.5953,0.4038,0.3223,0.6015,0.7011,0.5889
SD,0.6668,0.589,0.6604,0.4239,0.2071,0.5612,0.3271,0.1578,0.418,0.4043,0.3847,0.2039,0.7606,0.7309,0.305,0.7395,0.761,0.7537,0.4779,0.3049,0.2055,0.6537,0.6773,0.7121,0.7395,0.4407,0.7625,0.6476,0.7544,0.69,0.6295,0.2117,0.2212,0.2773,0.2036,0.6984,0.657,0.6589,0.6488,0.4055,0.5837,1,0.6715,0.2375,0.5241,0.5006,0.5395,0.5533,0.7153,0.7328,0.7412
TN,0.5329,0.7379,0.7494,0.3218,0.2214,0.4456,0.2107,0.1644,0.4399,0.4393,0.6022,0.21,0.6855,0.6484,0.2542,0.7572,0.7453,0.7945,0.6595,0.2007,0.2162,0.5516,0.6748,0.6311,0.7712,0.6241,0.6757,0.7967,0.6829,0.6076,0.5138,0.2065,0.2147,0.2418,0.2097,0.7046,0.7158,0.5717,0.6178,0.2929,0.759,0.6715,1,0.2238,0.4009,0.5584,0.3901,0.4146,0.632,0.741,0.6818
TX,0.392,0.2294,0.2203,0.5931,0.6007,0.2776,0.2058,0.1565,0.2181,0.3182,0.2594,0.4704,0.26,0.2665,0.2057,0.2519,0.2438,0.2447,0.2444,0.2154,0.2223,0.2399,0.2544,0.2452,0.2515,0.2192,0.2568,0.2434,0.2352,0.2323,0.2315,0.2512,0.5732,0.5969,0.3102,0.2519,0.3469,0.2359,0.25,0.2048,0.2474,0.2375,0.2238,1,0.3314,0.2123,0.2122,0.2571,0.2501,0.2394,0.2322
UT,0.572,0.2744,0.3622,0.542,0.2269,0.6446,0.3694,0.1677,0.3236,0.2712,0.2417,0.1992,0.5757,0.633,0.4728,0.5596,0.5724,0.4963,0.2971,0.4561,0.2427,0.4382,0.5412,0.6274,0.5332,0.2157,0.5052,0.3289,0.6101,0.6291,0.4948,0.3075,0.2132,0.4436,0.3574,0.575,0.4379,0.5579,0.5534,0.5051,0.2777,0.5241,0.4009,0.3314,1,0.404,0.3873,0.6133,0.5902,0.4307,0.5166
VA,0.2683,0.4963,0.4588,0.3022,0.2157,0.5454,0.5669,0.1526,0.6793,0.5309,0.4933,0.2044,0.6397,0.5147,0.5177,0.6026,0.5684,0.5763,0.4965,0.5521,0.4165,0.6506,0.7254,0.7051,0.666,0.3989,0.6188,0.6368,0.5353,0.5551,0.6784,0.3794,0.2105,0.248,0.3638,0.713,0.3884,0.5947,0.7291,0.5349,0.5953,0.5006,0.5584,0.2123,0.404,1,0.5927,0.535,0.675,0.5611,0.4804
VT,0.4185,0.3427,0.378,0.3904,0.2152,0.5204,0.6324,0.1541,0.5957,0.4809,0.2182,0.1979,0.6628,0.5039,0.4506,0.5099,0.4877,0.4909,0.2794,0.5857,0.2758,0.7763,0.6565,0.6892,0.5506,0.2399,0.6707,0.4551,0.5357,0.5354,0.7754,0.3853,0.2294,0.2884,0.3019,0.6283,0.3002,0.6135,0.6805,0.5905,0.4038,0.5395,0.3901,0.2122,0.3873,0.5927,1,0.6146,0.714,0.5288,0.4942
WA,0.5351,0.2884,0.3739,0.6641,0.3124,0.7556,0.6228,0.1565,0.4856,0.5447,0.2275,0.1847,0.675,0.6091,0.6153,0.5912,0.5824,0.5344,0.2379,0.6404,0.2402,0.6674,0.6761,0.7452,0.5848,0.223,0.6395,0.4055,0.5728,0.6228,0.7063,0.4944,0.3096,0.5367,0.4735,0.6751,0.3954,0.739,0.7235,0.7112,0.3223,0.5533,0.4146,0.2571,0.6133,0.535,0.6146,1,0.7353,0.5273,0.5213
WI,0.573,0.5448,0.5904,0.5455,0.2426,0.657,0.5772,0.1651,0.6518,0.606,0.3932,0.2101,0.8501,0.7362,0.5589,0.7734,0.7216,0.73740000000000006,0.49,0.5515,0.2552,0.8283,0.8575,0.8527,0.7872,0.4082,0.8106,0.6662,0.7279,0.7437,0.8178,0.3717,0.2424,0.4337,0.3454,0.856,0.5462,0.7907,0.8571,0.6388,0.6015,0.7153,0.632,0.2501,0.5902,0.675,0.714,0.7353,1,0.7309,0.682
WV,0.5949,0.677,0.7088,0.4198,0.208,0.514,0.3403,0.1651,0.5035,0.5218,0.4979,0.1973,0.7728,0.7123,0.3198,0.7761,0.7593,0.7976,0.5773,0.2855,0.2152,0.685,0.7375,0.7033,0.7911,0.5413,0.7754,0.7524,0.7195,0.6687,0.6407,0.2194,0.2242,0.3049,0.2181,0.7578,0.6858,0.6628,0.7022,0.4038,0.7011,0.7328,0.741,0.2394,0.4307,0.5611,0.5288,0.5273,0.7309,1,0.7303
WY,0.6606,0.5997,0.6608,0.4119,0.2055,0.5454,0.296,0.1466,0.3872,0.4016,0.391,0.205,0.733,0.73,0.2632,0.7285,0.7591,0.7488,0.4801,0.2705,0.1926,0.6244,0.6506,0.6793,0.7324,0.4415,0.7448,0.641,0.7497,0.6922,0.6028,0.1971,0.2185,0.2672,0.1933,0.6796,0.675,0.629,0.6268,0.3735,0.5889,0.7412,0.6818,0.2322,0.5166,0.4804,0.4942,0.5213,0.682,0.7303,1
