State,State_abb,ECV,jhk_biden,jhk_trump
National,,538,52.8,44.2
Alabama,AL,9,39,58.8
Alaska,AK,3,42,49
Arizona,AZ,11,50.27,46.48
Arkansas,AR,6,50,46.9
California,CA,55,63.9,32.1
Colorado,CO,9,54,41.4
Connecticut,CT,7,59.6,37.3
Delaware,DE,3,60,37.5
District of Columbia,DC,3,92.4,4.1
Florida,FL,29,50.4,47.5
Georgia,GA,16,49.2,48.3
Hawaii,HI,4,70.7,25.6
Idaho,ID,4,34.2,61.1
Illinois,IL,20,60,37.6
Indiana,IN,11,42.6,54.2
Iowa,IA,6,48.9,48.1
Kansas,KS,6,42.1,53.7
Kentucky,KY,8,38.9,58.9
Louisiana,LA,8,39.6,57.5
Maine,ME,4,55.5,40.8
Maryland,MD,10,64.6,32.7
Massachusetts,MA,11,65.7,29.8
Michigan,MI,16,52.9,44.9
Minnesota,MN,10,52.9,43.8
Mississippi,MS,6,41.4,56.7
Missouri,MO,10,43.6,54.3
Montana,MT,3,44.1,51.5
Nebraska,NE,5,38.4,58.2
Nevada,NV,6,51.7,44.3
New Hampshire,NH,4,52.9,44
New Jersey,NJ,14,58.9,38.6
New Mexico,NM,5,56.2,40.1
New York,NY,29,64,32.9
North Carolina,NC,15,50,48
North Dakota,ND,3,35,60.6
Ohio,OH,18,48.5,48.56
Oklahoma,OK,7,35.8,62.5
Oregon,OR,7,57.2,38
Pennsylvania,PA,20,52,45.5
Rhode Island,RI,4,62,34.4
South Carolina,SC,9,45.3,52.6
South Dakota,SD,3,38.6,58.4
Tennessee,TN,11,39.6,58.5
Texas,TX,38,47.8,49.7
Utah,UT,6,39.5,55.1
Vermont,VT,3,66.9,27.9
Virginia,VA,13,54.5,42.4
Washington,WA,12,58.8,36.8
West Virginia,WV,5,36,61.4
Wisconsin,WI,10,52.4,44.3
Wyoming,WY,3,28.7,66.7
