State,State_abb,ECV,jhk_biden,jhk_trump
National,,538,52.6,44.4
Alabama,AL,9,38.1,58.4
Alaska,AK,3,42,49.1
Arizona,AZ,11,49.8,47
Arkansas,AR,6,35.6,61.3
California,CA,55,63.7,32.4
Colorado,CO,9,53.9,41.7
Connecticut,CT,7,60.1,36.9
Delaware,DE,3,59.9,37.7
District of Columbia,DC,3,92.4,4.1
Florida,FL,29,50.3,47.6
Georgia,GA,16,49.6,48
Hawaii,HI,4,70.6,25.7
Idaho,ID,4,34,61.3
Illinois,IL,20,58.6,39.2
Indiana,IN,11,42.9,54.1
Iowa,IA,6,48.2,48.7
Kansas,KS,6,41.8,54.1
Kentucky,KY,8,39,58.4
Louisiana,LA,8,39.5,57.4
Maine,ME,4,54.9,41
Maryland,MD,10,64.8,32.6
Massachusetts,MA,11,65.3,30.2
Michigan,MI,16,52.7,45
Minnesota,MN,10,52.6,43.6
Mississippi,MS,6,41.3,56.5
Missouri,MO,10,43.9,53.9
Montana,MT,3,44.1,51.7
Nebraska,NE,5,38.1,58.5
Nevada,NV,6,51.5,45
New Hampshire,NH,4,53.3,43.6
New Jersey,NJ,14,58.9,38.9
New Mexico,NM,5,55.7,40.6
New York,NY,29,63.7,33.3
North Carolina,NC,15,50,48
North Dakota,ND,3,34.8,60.9
Ohio,OH,18,48.2,49
Oklahoma,OK,7,35.5,62.9
Oregon,OR,7,57.5,38
Pennsylvania,PA,20,51.5,46
Rhode Island,RI,4,61.7,34.7
South Carolina,SC,9,45.2,52.6
South Dakota,SD,3,38.4,58.5
Tennessee,TN,11,39.7,58.5
Texas,TX,38,48,49.7
Utah,UT,6,39.7,54.8
Vermont,VT,3,66.5,28.2
Virginia,VA,13,54.6,42.8
Washington,WA,12,58.7,37.2
West Virginia,WV,5,35.7,61.7
Wisconsin,WI,10,52.4,44.4
Wyoming,WY,3,28.8,66.3
