,State1,State2,Corr
472,new-hampshire,rhode-island,0.3894196246896868
16,new-hampshire,alaska,0.38259829487907976
361,alaska,new-hampshire,0.38259829487907976
164,rhode-island,kansas,0.37784120425179124
463,kansas,rhode-island,0.37784120425179124
84,missouri,florida,0.36776755774863
268,florida,missouri,0.36776755774863
527,wisconsin,texas,0.36507818930778607
550,texas,wisconsin,0.36507818930778607
470,nebraska,rhode-island,0.3593243800395254
332,rhode-island,nebraska,0.3593243800395254
137,north-carolina,iowa,0.35506101334898055
390,iowa,north-carolina,0.35506101334898055
13,montana,alaska,0.35422541027960186
289,alaska,montana,0.35422541027960186
221,georgia,michigan,0.3491518911632576
106,michigan,georgia,0.3491518911632576
469,montana,rhode-island,0.3298342952598878
308,rhode-island,montana,0.3298342952598878
471,nevada,rhode-island,0.25796411502631506
356,rhode-island,nevada,0.25796411502631506
515,minnesota,texas,0.257443027256407
262,texas,minnesota,0.257443027256407
278,nebraska,missouri,0.25743661074568347
324,missouri,nebraska,0.25743661074568347
241,alaska,minnesota,0.2520934175761919
11,minnesota,alaska,0.2520934175761919
146,arizona,kansas,0.25025268059578154
31,kansas,arizona,0.25025268059578154
285,south-carolina,missouri,0.248131544070038
492,missouri,south-carolina,0.248131544070038
437,georgia,pennsylvania,0.2456626327188814
115,pennsylvania,georgia,0.2456626327188814
73,alaska,florida,0.23257023206460567
4,florida,alaska,0.23257023206460567
9,maine,alaska,0.23115448136144642
193,alaska,maine,0.23115448136144642
105,maine,georgia,0.22814220393619958
197,georgia,maine,0.22814220393619958
23,wisconsin,alaska,0.22332075558569237
529,alaska,wisconsin,0.22332075558569237
348,missouri,nevada,0.2144885362627906
279,nevada,missouri,0.2144885362627906
2,arizona,alaska,0.20079122717576267
25,alaska,arizona,0.20079122717576267
28,florida,arizona,0.18559215634841858
74,arizona,florida,0.18559215634841858
514,michigan,texas,0.1568290868741666
238,texas,michigan,0.1568290868741666
114,ohio,georgia,0.13904032365822583
413,georgia,ohio,0.13904032365822583
145,alaska,kansas,0.12323767692775417
7,kansas,alaska,0.12323767692775417
41,north-carolina,arizona,0.12010809720483642
386,arizona,north-carolina,0.12010809720483642
54,iowa,arkansas,0.10803110029878502
123,arkansas,iowa,0.10803110029878502
513,maine,texas,0.09928098935608647
214,texas,maine,0.09928098935608647
125,georgia,iowa,0.08785063831286978
102,iowa,georgia,0.08785063831286978
435,arkansas,pennsylvania,0.07456369605922814
67,pennsylvania,arkansas,0.07456369605922814
18,ohio,alaska,0.06710980187130208
409,alaska,ohio,0.06710980187130208
38,nebraska,arizona,0.062276173640606544
314,arizona,nebraska,0.062276173640606544
454,texas,pennsylvania,0.03941569484869815
523,pennsylvania,texas,0.03941569484869815
404,rhode-island,north-carolina,0.03512446841297168
473,north-carolina,rhode-island,0.03512446841297168
10,michigan,alaska,0.00861326451709666
217,alaska,michigan,0.00861326451709666
128,louisiana,iowa,0.004698546981776824
174,iowa,louisiana,0.004698546981776824
461,georgia,rhode-island,-0.015461384778111192
116,rhode-island,georgia,-0.015461384778111192
522,ohio,texas,-0.03858999964577863
430,texas,ohio,-0.03858999964577863
440,louisiana,pennsylvania,-0.0442143554063015
187,pennsylvania,louisiana,-0.0442143554063015
66,ohio,arkansas,-0.04876658412895619
411,arkansas,ohio,-0.04876658412895619
170,arizona,louisiana,-0.07210410222260273
32,louisiana,arizona,-0.07210410222260273
219,arkansas,michigan,-0.07846937203064391
58,michigan,arkansas,-0.07846937203064391
281,north-carolina,missouri,-0.10660454013654842
396,missouri,north-carolina,-0.10660454013654842
482,arizona,south-carolina,-0.10734798650465509
45,south-carolina,arizona,-0.10734798650465509
6,iowa,alaska,-0.1073855753813461
121,alaska,iowa,-0.1073855753813461
39,nevada,arizona,-0.12032946287090529
338,arizona,nevada,-0.12032946287090529
142,texas,iowa,-0.12778979322168493
510,iowa,texas,-0.12778979322168493
19,pennsylvania,alaska,-0.14860814272169384
433,alaska,pennsylvania,-0.14860814272169384
416,louisiana,ohio,-0.16559046507651745
186,ohio,louisiana,-0.16559046507651745
178,michigan,louisiana,-0.184037535977931
224,louisiana,michigan,-0.184037535977931
80,louisiana,florida,-0.19146709320833416
172,florida,louisiana,-0.19146709320833416
57,maine,arkansas,-0.21648324192903012
195,arkansas,maine,-0.21648324192903012
108,missouri,georgia,-0.2221208916690693
269,georgia,missouri,-0.2221208916690693
59,minnesota,arkansas,-0.28762562050304297
243,arkansas,minnesota,-0.28762562050304297
71,wisconsin,arkansas,-0.3068193664002315
531,arkansas,wisconsin,-0.3068193664002315
175,kansas,louisiana,-0.31519161577002647
152,louisiana,kansas,-0.31519161577002647
147,arkansas,kansas,-0.3264090654429346
55,kansas,arkansas,-0.3264090654429346
50,arizona,arkansas,-0.3289311840281529
27,arkansas,arizona,-0.3289311840281529
478,texas,rhode-island,-0.3341742492228413
524,rhode-island,texas,-0.3341742492228413
37,montana,arizona,-0.3347726641972642
290,arizona,montana,-0.3347726641972642
200,louisiana,maine,-0.35429436601318953
177,maine,louisiana,-0.35429436601318953
75,arkansas,florida,-0.35507264075674605
52,florida,arkansas,-0.35507264075674605
457,alaska,rhode-island,-0.39254504765884385
20,rhode-island,alaska,-0.39254504765884385
47,wisconsin,arizona,-0.39403414732239705
530,arizona,wisconsin,-0.39403414732239705
248,louisiana,minnesota,-0.40214422182094045
179,minnesota,louisiana,-0.40214422182094045
44,rhode-island,arizona,-0.4209678178486054
458,arizona,rhode-island,-0.4209678178486054
191,wisconsin,louisiana,-0.4227491986459672
536,louisiana,wisconsin,-0.4227491986459672
516,missouri,texas,-0.42684501901053223
286,texas,missouri,-0.42684501901053223
363,arkansas,new-hampshire,-0.44060214010698295
64,new-hampshire,arkansas,-0.44060214010698295
362,arizona,new-hampshire,-0.4442227821576419
40,new-hampshire,arizona,-0.4442227821576419
291,arkansas,montana,-0.45189602833734493
61,montana,arkansas,-0.45189602833734493
218,arizona,michigan,-0.4780110804482203
34,michigan,arizona,-0.4780110804482203
434,arizona,pennsylvania,-0.5001591763539267
43,pennsylvania,arizona,-0.5001591763539267
242,arizona,minnesota,-0.5291475338009889
35,minnesota,arizona,-0.5291475338009889
320,louisiana,nebraska,-0.5666627512222898
182,nebraska,louisiana,-0.5666627512222898
266,arizona,missouri,-0.5746271952527494
36,missouri,arizona,-0.5746271952527494
488,louisiana,south-carolina,-0.5843567057191128
189,south-carolina,louisiana,-0.5843567057191128
184,new-hampshire,louisiana,-0.5907572284341046
368,louisiana,new-hampshire,-0.5907572284341046
315,arkansas,nebraska,-0.5953682666093341
62,nebraska,arkansas,-0.5953682666093341
296,louisiana,montana,-0.6157191825988423
181,montana,louisiana,-0.6157191825988423
69,south-carolina,arkansas,-0.6207399538097211
483,arkansas,south-carolina,-0.6207399538097211
173,georgia,louisiana,-0.6267897750011965
104,louisiana,georgia,-0.6267897750011965
12,missouri,alaska,-0.6406486209503517
265,alaska,missouri,-0.6406486209503517
63,nevada,arkansas,-0.6594817891818472
339,arkansas,nevada,-0.6594817891818472
30,iowa,arizona,-0.6811921302173567
122,arizona,iowa,-0.6811921302173567
33,maine,arizona,-0.686122883017702
194,arizona,maine,-0.686122883017702
344,louisiana,nevada,-0.7097101586536346
183,nevada,louisiana,-0.7097101586536346
42,ohio,arizona,-0.7138936262253851
410,arizona,ohio,-0.7138936262253851
512,louisiana,texas,-0.7942768706209447
190,texas,louisiana,-0.7942768706209447
53,georgia,arkansas,-0.7944160270333294
99,arkansas,georgia,-0.7944160270333294
185,north-carolina,louisiana,-0.821684822102131
392,louisiana,north-carolina,-0.821684822102131
169,alaska,louisiana,-0.8551663759488728
8,louisiana,alaska,-0.8551663759488728
387,arkansas,north-carolina,-0.8619659512004451
65,north-carolina,arkansas,-0.8619659512004451
507,arkansas,texas,-0.8832199535078221
70,texas,arkansas,-0.8832199535078221
49,alaska,arkansas,-0.968530197647611
3,arkansas,alaska,-0.968530197647611
