dem_ev,sims
196,1
197,1
200,3
202,3
204,2
206,4
208,3
209,2
210,1
213,9
214,2
215,1
217,5
219,9
220,3
221,1
222,2
223,14
224,1
227,12
229,11
230,1
232,1
233,11
234,3
235,4
237,15
239,4
240,4
241,2
243,24
244,1
245,1
246,1
247,2
248,4
249,21
250,5
251,1
252,3
253,27
254,7
255,10
257,5
258,1
259,38
260,8
261,4
262,2
263,14
264,7
265,6
266,4
267,1
268,2
269,15
270,35
271,4
272,4
273,75
274,18
275,12
276,2
278,5
279,162
280,3
281,3
282,7
283,8
284,18
285,18
286,17
287,2
288,48
289,22
290,203
291,3
292,3
293,2
294,79
295,36
296,19
297,7
298,6
299,30
300,22
301,6
302,22
303,15
304,43
305,57
306,42
308,164
309,6
310,89
311,30
312,12
313,14
314,18
315,14
316,27
317,24
318,11
319,497
320,1
321,81
322,9
323,108
324,52
325,66
326,7
327,38
328,58
329,42
330,5
331,1
332,7
333,35
334,238
335,131
337,51
338,2
339,210
340,125
341,31
342,6
343,63
344,18
345,83
346,7
347,29
348,14
349,7
350,346
351,7
352,94
353,26
354,5
355,4
356,172
357,177
358,270
359,47
360,2
361,31
362,10
363,106
364,4
365,9
366,5
367,5
368,219
369,1
370,2
371,6
372,77
373,58
374,848
375,8
377,106
378,52
379,9
380,10
381,18
382,3
383,67
384,41
385,5
386,13
387,11
388,176
389,3
390,31
391,15
392,1
393,16
394,96
395,2
396,102
397,16
398,1
399,21
401,10
402,4
403,3
405,1
406,110
409,7
410,3
412,430
413,1
415,77
418,15
420,1
421,46
422,19
424,7
425,15
427,7
428,9
429,1
431,6
432,1
433,1
434,15
437,9
439,2
440,4
443,2
445,1
449,1
