state,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,1,0.4279,0.5631,0.5529,0.2625,0.574,0.2458,0.1738,0.2311,0.3246,0.2371,0.2223,0.6552,0.6402,0.2326,0.6175,0.6807,0.6296,0.283,0.2396,0.2246,0.5183,0.5049,0.6055,0.5736,0.3184,0.6531,0.4795,0.6602,0.5672,0.4958,0.2161,0.3595,0.372,0.208,0.5324,0.6433,0.5993,0.5023,0.3492,0.3894,0.668,0.5098,0.4084,0.5634,0.3061,0.419,0.5532,0.5923,0.5864,0.631
AL,0.4279,1,0.7178,0.2364,0.2352,0.3037,0.2041,0.1598,0.4338,0.4162,0.6594,0.2193,0.5988,0.5341,0.1833,0.6455,0.6313,0.6933,0.6942,0.2006,0.2355,0.5033,0.615,0.5291,0.6637,0.7116,0.6062,0.7769,0.5664,0.4792,0.4468,0.2232,0.188,0.2232,0.2151,0.6268,0.6485,0.4403,0.5582,0.2118,0.7851,0.5794,0.7029,0.2235,0.2754,0.5117,0.3406,0.2835,0.5579,0.6611,0.5647
AR,0.5631,0.7178,1,0.3041,0.2282,0.398,0.1903,0.1434,0.3974,0.3976,0.563,0.2193,0.6613,0.6001,0.2093,0.6936,0.7005,0.7365,0.6005,0.1892,0.2172,0.5291,0.6301,0.5862,0.6961,0.6096,0.6665,0.7468,0.6351,0.5383,0.4849,0.2258,0.1981,0.224,0.2094,0.6455,0.6922,0.5202,0.5786,0.2519,0.7069,0.6503,0.7262,0.2106,0.3663,0.4901,0.3663,0.3742,0.6051,0.6965,0.6215
AZ,0.5529,0.2364,0.3041,1,0.5749,0.5928,0.4871,0.1772,0.3657,0.6146,0.2382,0.4352,0.4901,0.4887,0.5112,0.4501,0.4324,0.4102,0.2333,0.4765,0.2723,0.4788,0.5164,0.5169,0.419,0.2238,0.4519,0.2953,0.4087,0.4646,0.491,0.5409,0.5781,0.7844,0.5196,0.5039,0.4122,0.5653,0.5593,0.5503,0.2663,0.4283,0.301,0.5937,0.5466,0.3146,0.3728,0.6596,0.5444,0.4014,0.3902
CA,0.2625,0.2352,0.2282,0.5749,1,0.3007,0.3068,0.2348,0.2419,0.3813,0.2434,0.6726,0.2493,0.2195,0.3329,0.2332,0.2455,0.2479,0.2417,0.3242,0.2668,0.2673,0.2703,0.2755,0.238,0.2472,0.2507,0.2614,0.2304,0.2107,0.2805,0.5325,0.6259,0.6115,0.5337,0.2587,0.2414,0.2394,0.2888,0.3006,0.2643,0.2349,0.2298,0.5986,0.2575,0.2501,0.2371,0.3385,0.2743,0.2246,0.2138
CO,0.574,0.3037,0.398,0.5928,0.3007,1,0.498,0.1712,0.3167,0.4034,0.2467,0.2096,0.6288,0.5966,0.4567,0.5712,0.649,0.5423,0.2203,0.5493,0.2491,0.56,0.5712,0.7174,0.5715,0.2265,0.6227,0.4107,0.5812,0.5954,0.6376,0.4213,0.255,0.4002,0.3899,0.5883,0.4974,0.6919,0.6309,0.5365,0.2999,0.572,0.4388,0.2886,0.6364,0.5424,0.4827,0.7294,0.6401,0.4962,0.5335
CT,0.2458,0.2041,0.1903,0.4871,0.3068,0.498,1,0.0889,0.5676,0.5457,0.2239,0.2611,0.4333,0.3178,0.5518,0.3088,0.2834,0.2765,0.2099,0.6968,0.4055,0.5873,0.5236,0.5128,0.3403,0.2087,0.4423,0.2778,0.3107,0.3708,0.6288,0.6049,0.2928,0.4462,0.5209,0.4734,0.1869,0.4837,0.5901,0.6367,0.2386,0.3308,0.1815,0.2563,0.3679,0.5351,0.5837,0.5977,0.546,0.3117,0.2753
DC,0.1738,0.1598,0.1434,0.1772,0.2348,0.1712,0.0889,1,0.1128,0.1564,0.1735,0.1636,0.1704,0.1567,0.0954,0.1631,0.1768,0.1718,0.1763,0.1978,0.4835,0.1721,0.166,0.1745,0.1672,0.1542,0.166,0.16,0.1653,0.1532,0.1587,0.2591,0.1372,0.1543,0.3109,0.157,0.1503,0.1493,0.1641,0.0948,0.1671,0.1625,0.1505,0.1586,0.1525,0.1483,0.1415,0.1469,0.1608,0.1646,0.1556
DE,0.2311,0.4338,0.3974,0.3657,0.2419,0.3167,0.5676,0.1128,1,0.6229,0.4863,0.2155,0.553,0.405,0.5672,0.4963,0.3838,0.4616,0.4911,0.4833,0.467,0.6126,0.6941,0.5531,0.5191,0.3903,0.5163,0.544,0.3998,0.4435,0.6001,0.4355,0.2159,0.3989,0.4266,0.6418,0.2801,0.4706,0.6938,0.553,0.5428,0.4189,0.4026,0.2552,0.3327,0.6533,0.5511,0.4588,0.6265,0.4772,0.3519
FL,0.3246,0.4162,0.3976,0.6146,0.3813,0.4034,0.5457,0.1564,0.6229,1,0.3612,0.3319,0.5018,0.4349,0.5453,0.4885,0.4086,0.4628,0.3893,0.4456,0.376,0.5942,0.6613,0.5183,0.5003,0.3123,0.4993,0.4974,0.3511,0.4362,0.5798,0.5713,0.4249,0.6433,0.5053,0.6221,0.3788,0.5628,0.7037,0.5548,0.4961,0.4163,0.4255,0.3424,0.2931,0.5212,0.4432,0.5323,0.6048,0.4994,0.378
GA,0.2371,0.6594,0.563,0.2382,0.2434,0.2467,0.2239,0.1735,0.4863,0.3612,1,0.2205,0.4492,0.3816,0.2401,0.5303,0.4578,0.5465,0.7626,0.2462,0.349,0.3406,0.5458,0.3831,0.5492,0.751,0.4091,0.703,0.4047,0.3665,0.2966,0.2689,0.2319,0.2563,0.264,0.5369,0.4653,0.2738,0.4643,0.2265,0.7437,0.4,0.5897,0.2531,0.2585,0.5187,0.2258,0.2337,0.4213,0.5009,0.3822
HI,0.2223,0.2193,0.2193,0.4352,0.6726,0.2096,0.2611,0.1636,0.2155,0.3319,0.2205,1,0.2252,0.2128,0.1692,0.2137,0.2309,0.2268,0.2378,0.2134,0.2203,0.2383,0.241,0.2422,0.2204,0.1977,0.2232,0.2352,0.2226,0.2083,0.2345,0.4199,0.665,0.4604,0.3416,0.2294,0.1941,0.198,0.2378,0.1882,0.2414,0.2202,0.2115,0.4712,0.2198,0.246,0.207,0.2091,0.2359,0.2037,0.2159
IA,0.6552,0.5988,0.6613,0.4901,0.2493,0.6288,0.4333,0.1704,0.553,0.5018,0.4492,0.2252,1,0.7435,0.4242,0.7884,0.779,0.7781,0.5092,0.4133,0.2464,0.7698,0.8066,0.8278,0.7966,0.4817,0.8365,0.7207,0.7495,0.7183,0.7422,0.2602,0.245,0.3486,0.2502,0.8168,0.6237,0.7388,0.7891,0.5129,0.6369,0.7669,0.6638,0.2746,0.5649,0.645,0.6238,0.6487,0.8416,0.7461,0.7075
ID,0.6402,0.5341,0.6001,0.4887,0.2195,0.5966,0.3178,0.1567,0.405,0.4349,0.3816,0.2128,0.7435,1,0.3433,0.73,0.7398,0.7138,0.4441,0.304,0.2084,0.6074,0.6772,0.711,0.7126,0.396,0.7194,0.6032,0.706,0.7092,0.5904,0.2132,0.214,0.356,0.2003,0.7021,0.6345,0.656,0.6658,0.4225,0.5352,0.7094,0.6189,0.2667,0.6049,0.5063,0.4443,0.5678,0.7091,0.6739,0.6831
IL,0.2326,0.1833,0.2093,0.5112,0.3329,0.4567,0.5518,0.0954,0.5672,0.5453,0.2401,0.1692,0.4242,0.3433,1,0.3793,0.3121,0.3083,0.2362,0.559,0.4032,0.4449,0.5408,0.4979,0.3774,0.1869,0.3629,0.3029,0.3059,0.3977,0.4887,0.532,0.2198,0.5333,0.5653,0.5047,0.1931,0.4667,0.5907,0.6153,0.257,0.2937,0.2301,0.253,0.4386,0.4995,0.395,0.5572,0.5158,0.2963,0.2226
IN,0.6175,0.6455,0.6936,0.4501,0.2332,0.5712,0.3088,0.1631,0.4963,0.4885,0.5303,0.2137,0.7884,0.73,0.3793,1,0.7854,0.8015,0.5756,0.2867,0.2302,0.642,0.7643,0.745,0.7946,0.5337,0.7514,0.7514,0.7134,0.6969,0.6104,0.2291,0.2235,0.3342,0.2228,0.7888,0.6796,0.6718,0.7269,0.4112,0.6799,0.7237,0.716,0.2483,0.5361,0.602,0.4596,0.5519,0.7545,0.7442,0.6865
KS,0.6807,0.6313,0.7005,0.4324,0.2455,0.649,0.2834,0.1768,0.3838,0.4086,0.4578,0.2309,0.779,0.7398,0.3121,0.7854,1,0.8066,0.4963,0.2872,0.2157,0.6232,0.6988,0.7598,0.7827,0.4832,0.7788,0.7215,0.755,0.6924,0.6163,0.2284,0.2224,0.2739,0.2253,0.7349,0.7279,0.6906,0.6831,0.3797,0.6351,0.7552,0.7288,0.2435,0.5528,0.5776,0.4554,0.5629,0.7214,0.7427,0.7332
KY,0.6296,0.6933,0.7365,0.4102,0.2479,0.5423,0.2765,0.1718,0.4616,0.4628,0.5465,0.2268,0.7781,0.7138,0.3083,0.8015,0.8066,1,0.5891,0.2375,0.2289,0.6321,0.736,0.7286,0.795,0.5753,0.7627,0.7892,0.7311,0.6562,0.5988,0.2253,0.2241,0.2972,0.2129,0.7618,0.72,0.6479,0.6996,0.3602,0.7192,0.7436,0.7658,0.2469,0.4833,0.5835,0.4534,0.5062,0.7315,0.7743,0.7119
LA,0.283,0.6942,0.6005,0.2333,0.2417,0.2203,0.2099,0.1763,0.4911,0.3893,0.7626,0.2378,0.5092,0.4441,0.2362,0.5756,0.4963,0.5891,1,0.2333,0.3016,0.4051,0.5877,0.4341,0.5856,0.7104,0.4585,0.7051,0.4729,0.4258,0.3521,0.2411,0.209,0.253,0.2203,0.587,0.4968,0.3157,0.5083,0.2014,0.7476,0.4524,0.6075,0.2336,0.2952,0.4951,0.2744,0.2227,0.4875,0.5412,0.4441
MA,0.2396,0.2006,0.1892,0.4765,0.3242,0.5493,0.6968,0.1978,0.4833,0.4456,0.2462,0.2134,0.4133,0.304,0.559,0.2867,0.2872,0.2375,0.2333,1,0.4226,0.517,0.4889,0.5219,0.3227,0.2228,0.4002,0.247,0.3113,0.3789,0.5888,0.6281,0.2387,0.429,0.59,0.4502,0.1925,0.4851,0.5555,0.5986,0.2275,0.2935,0.1647,0.2555,0.4461,0.5243,0.5373,0.6065,0.5099,0.2543,0.2433
MD,0.2246,0.2355,0.2172,0.2723,0.2668,0.2491,0.4055,0.4835,0.467,0.376,0.349,0.2203,0.2464,0.2084,0.4032,0.2302,0.2157,0.2289,0.3016,0.4226,1,0.259,0.307,0.2544,0.229,0.2378,0.2389,0.2516,0.2389,0.2169,0.2767,0.5136,0.2146,0.266,0.5507,0.2727,0.221,0.2247,0.3471,0.3367,0.2608,0.2193,0.2068,0.2543,0.2611,0.4155,0.2658,0.2405,0.2589,0.2153,0.1906
ME,0.5183,0.5033,0.5291,0.4788,0.2673,0.56,0.5873,0.1721,0.6126,0.5942,0.3406,0.2383,0.7698,0.6074,0.4449,0.642,0.6232,0.6321,0.4051,0.517,0.259,1,0.7756,0.7677,0.6727,0.3774,0.7801,0.618,0.6186,0.6181,0.8198,0.3852,0.2673,0.366,0.315,0.7514,0.4747,0.6908,0.7891,0.5813,0.5599,0.6537,0.5295,0.2727,0.44,0.645,0.7377,0.6489,0.8174,0.6635,0.6021
MI,0.5049,0.615,0.6301,0.5164,0.2703,0.5712,0.5236,0.166,0.6941,0.6613,0.5458,0.241,0.8066,0.6772,0.5408,0.7643,0.6988,0.736,0.5877,0.4889,0.307,0.7756,1,0.8051,0.7813,0.5104,0.7637,0.7465,0.6636,0.6901,0.7524,0.3891,0.2554,0.4581,0.3688,0.8663,0.5588,0.7144,0.8701,0.5892,0.6937,0.6777,0.6514,0.2747,0.5407,0.7239,0.6176,0.6499,0.8526,0.7192,0.6203
