state,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
MN,0.6055,0.5291,0.5862,0.5169,0.2755,0.7174,0.5128,0.1745,0.5531,0.5183,0.3831,0.2422,0.8278,0.711,0.4979,0.745,0.7598,0.7286,0.4341,0.5219,0.2544,0.7677,0.8051,1,0.7646,0.3909,0.7975,0.6597,0.7131,0.7252,0.7862,0.3537,0.2581,0.3782,0.3326,0.8096,0.5729,0.7713,0.8188,0.5772,0.5674,0.7145,0.613,0.2712,0.619,0.7146,0.6479,0.7155,0.8418,0.686,0.6617
MO,0.5736,0.6637,0.6961,0.419,0.238,0.5715,0.3403,0.1672,0.5191,0.5003,0.5492,0.2204,0.7966,0.7126,0.3774,0.7946,0.7827,0.795,0.5856,0.3227,0.229,0.6727,0.7813,0.7646,1,0.5566,0.7751,0.7733,0.7165,0.691,0.654,0.232,0.2145,0.3186,0.2327,0.804,0.6644,0.6713,0.7465,0.4204,0.7065,0.7275,0.7264,0.2489,0.524,0.6607,0.4998,0.5573,0.7671,0.7537,0.688
MS,0.3184,0.7116,0.6096,0.2238,0.2472,0.2265,0.2087,0.1542,0.3903,0.3123,0.751,0.1977,0.4817,0.396,0.1869,0.5337,0.4832,0.5753,0.7104,0.2228,0.2378,0.3774,0.5104,0.3909,0.5566,1,0.4608,0.7054,0.4329,0.3603,0.3145,0.2454,0.1936,0.2325,0.2431,0.5133,0.5386,0.3033,0.4309,0.2022,0.7281,0.4518,0.598,0.229,0.2306,0.4222,0.2488,0.2251,0.4317,0.5438,0.4328
MT,0.6531,0.6062,0.6665,0.4519,0.2507,0.6227,0.4423,0.166,0.5163,0.4993,0.4091,0.2232,0.8365,0.7194,0.3629,0.7514,0.7788,0.7627,0.4585,0.4002,0.2389,0.7801,0.7637,0.7975,0.7751,0.4608,1,0.7078,0.734,0.6868,0.755,0.2584,0.2444,0.3019,0.2376,0.7763,0.6379,0.7301,0.7573,0.4874,0.6278,0.7661,0.657,0.2664,0.5016,0.6306,0.645,0.6222,0.8139,0.7628,0.7186
NC,0.4795,0.7769,0.7468,0.2953,0.2614,0.4107,0.2778,0.16,0.544,0.4974,0.703,0.2352,0.7207,0.6032,0.3029,0.7514,0.7215,0.7892,0.7051,0.247,0.2516,0.618,0.7465,0.6597,0.7733,0.7054,0.7078,1,0.6334,0.5631,0.5604,0.248,0.2264,0.2718,0.2327,0.7501,0.6551,0.5582,0.682,0.3297,0.8371,0.6573,0.7716,0.2579,0.3453,0.6461,0.4411,0.4042,0.6838,0.7405,0.6232
ND,0.6602,0.5664,0.6351,0.4087,0.2304,0.5812,0.3107,0.1653,0.3998,0.3511,0.4047,0.2226,0.7495,0.706,0.3059,0.7134,0.755,0.7311,0.4729,0.3113,0.2389,0.6186,0.6636,0.7131,0.7165,0.4329,0.734,0.6334,1,0.6771,0.6097,0.2174,0.2158,0.2623,0.2233,0.6907,0.6433,0.6181,0.6426,0.4,0.5643,0.7333,0.6476,0.2427,0.591,0.5411,0.4962,0.5443,0.6986,0.6813,0.7142
NE,0.5672,0.4792,0.5383,0.4646,0.2107,0.5954,0.3708,0.1532,0.4435,0.4362,0.3665,0.2083,0.7183,0.7092,0.3977,0.6969,0.6924,0.6562,0.4258,0.3789,0.2169,0.6181,0.6901,0.7252,0.691,0.3603,0.6868,0.5631,0.6771,1,0.6248,0.2522,0.2192,0.346,0.2245,0.7054,0.5366,0.6391,0.6796,0.4693,0.5057,0.6599,0.5643,0.234,0.6116,0.555,0.4761,0.5874,0.7072,0.624,0.645
NH,0.4958,0.4468,0.4849,0.491,0.2805,0.6376,0.6288,0.1587,0.6001,0.5798,0.2966,0.2345,0.7422,0.5904,0.4887,0.6104,0.6163,0.5988,0.3521,0.5888,0.2767,0.8198,0.7524,0.7862,0.654,0.3145,0.755,0.5604,0.6097,0.6248,1,0.4367,0.2612,0.3746,0.36870000000000003,0.7306,0.4409,0.7099,0.7878,0.6171,0.4933,0.6246,0.4903,0.2682,0.4829,0.6833,0.7355,0.6918,0.802,0.6108,0.5767
NJ,0.2161,0.2232,0.2258,0.5409,0.5325,0.4213,0.6049,0.2591,0.4355,0.5713,0.2689,0.4199,0.2602,0.2132,0.532,0.2291,0.2284,0.2253,0.2411,0.6281,0.5136,0.3852,0.3891,0.3537,0.232,0.2454,0.2584,0.248,0.2174,0.2522,0.4367,1,0.4147,0.576,0.7526,0.3447,0.2158,0.3806,0.4698,0.5422,0.2473,0.2274,0.202,0.2994,0.3159,0.3846,0.3661,0.5043,0.377,0.2203,0.1899
NM,0.3595,0.188,0.1981,0.5781,0.6259,0.255,0.2928,0.1372,0.2159,0.4249,0.2319,0.665,0.245,0.214,0.2198,0.2235,0.2224,0.2241,0.209,0.2387,0.2146,0.2673,0.2554,0.2581,0.2145,0.1936,0.2444,0.2264,0.2158,0.2192,0.2612,0.4147,1,0.5639,0.3216,0.2417,0.185,0.2614,0.2547,0.29,0.2294,0.2144,0.1974,0.5591,0.2205,0.2264,0.2348,0.3319,0.2515,0.2069,0.1993
NV,0.372,0.2232,0.224,0.7844,0.6115,0.4002,0.4462,0.1543,0.3989,0.6433,0.2563,0.4604,0.3486,0.356,0.5333,0.3342,0.2739,0.2972,0.253,0.429,0.266,0.366,0.4581,0.3782,0.3186,0.2325,0.3019,0.2718,0.2623,0.346,0.3746,0.576,0.5639,1,0.5849,0.4279,0.2956,0.4308,0.4909,0.5119,0.2711,0.2812,0.2282,0.5931,0.4472,0.2516,0.2731,0.5322,0.4416,0.2946,0.243
NY,0.208,0.2151,0.2094,0.5196,0.5337,0.3899,0.5209,0.3109,0.4266,0.5053,0.264,0.3416,0.2502,0.2003,0.5653,0.2228,0.2253,0.2129,0.2203,0.59,0.5507,0.315,0.3688,0.3326,0.2327,0.2431,0.2376,0.2327,0.2233,0.2245,0.36870000000000003,0.7526,0.3216,0.5849,1,0.3289,0.2201,0.3339,0.4415,0.515,0.2325,0.2104,0.1987,0.3303,0.3583,0.364,0.2984,0.4664,0.3439,0.2142,0.182
OH,0.5324,0.6268,0.6455,0.5039,0.2587,0.5883,0.4734,0.157,0.6418,0.6221,0.5369,0.2294,0.8168,0.7021,0.5047,0.7888,0.7349,0.7618,0.587,0.4502,0.2727,0.7514,0.8663,0.8096,0.804,0.5133,0.7763,0.7501,0.6907,0.7054,0.7306,0.3447,0.2417,0.4279,0.3289,1,0.5942,0.7168,0.8463,0.5488,0.6958,0.6999,0.6764,0.2715,0.5658,0.7099,0.5829,0.6392,0.8452,0.7362,0.6451
OK,0.6433,0.6485,0.6922,0.4122,0.2414,0.4974,0.1869,0.1503,0.2801,0.3788,0.4653,0.1941,0.6237,0.6345,0.1931,0.6796,0.7279,0.72,0.4968,0.1925,0.221,0.4747,0.5588,0.5729,0.6644,0.5386,0.6379,0.6551,0.6433,0.5366,0.4409,0.2158,0.185,0.2956,0.2201,0.5942,1,0.5497,0.5346,0.2297,0.6042,0.654,0.6926,0.3392,0.4341,0.4122,0.2984,0.3911,0.5636,0.671,0.6361
OR,0.5993,0.4403,0.5202,0.5653,0.2394,0.6919,0.4837,0.1493,0.4706,0.5628,0.2738,0.198,0.7388,0.656,0.4667,0.6718,0.6906,0.6479,0.3157,0.4851,0.2247,0.6908,0.7144,0.7713,0.6713,0.3033,0.7301,0.5582,0.6181,0.6391,0.7099,0.3806,0.2614,0.4308,0.3339,0.7168,0.5497,1,0.7504,0.545,0.4689,0.6554,0.5403,0.2489,0.5403,0.5862,0.5727,0.7116,0.7635,0.6227,0.5886
PA,0.5023,0.5582,0.5786,0.5593,0.2888,0.6309,0.5901,0.1641,0.6938,0.7037,0.4643,0.2378,0.7891,0.6658,0.5907,0.7269,0.6831,0.6996,0.5083,0.5555,0.3471,0.7891,0.8701,0.8188,0.7465,0.4309,0.7573,0.682,0.6426,0.6796,0.7878,0.4698,0.2547,0.4909,0.4415,0.8463,0.5346,0.7504,1,0.6359,0.6326,0.664,0.6087,0.2759,0.5588,0.7368,0.6413,0.6993,0.86,0.6915,0.6062
RI,0.3492,0.2118,0.2519,0.5503,0.3006,0.5365,0.6367,0.0948,0.553,0.5548,0.2265,0.1882,0.5129,0.4225,0.6153,0.4112,0.3797,0.3602,0.2014,0.5986,0.3367,0.5813,0.5892,0.5772,0.4204,0.2022,0.4874,0.3297,0.4,0.4693,0.6171,0.5422,0.29,0.5119,0.515,0.5488,0.2297,0.545,0.6359,1,0.2826,0.4022,0.2633,0.2303,0.4731,0.4978,0.534,0.6691,0.6033,0.3789,0.3513
SC,0.3894,0.7851,0.7069,0.2663,0.2643,0.2999,0.2386,0.1671,0.5428,0.4961,0.7437,0.2414,0.6369,0.5352,0.257,0.6799,0.6351,0.7192,0.7476,0.2275,0.2608,0.5599,0.6937,0.5674,0.7065,0.7281,0.6278,0.8371,0.5643,0.5057,0.4933,0.2473,0.2294,0.2711,0.2325,0.6958,0.6042,0.4689,0.6326,0.2826,1,0.5802,0.7311,0.2572,0.2809,0.5966,0.3909,0.3167,0.6138,0.69,0.5617
SD,0.668,0.5794,0.6503,0.4283,0.2349,0.572,0.3308,0.1625,0.4189,0.4163,0.4,0.2202,0.7669,0.7094,0.2937,0.7237,0.7552,0.7436,0.4524,0.2935,0.2193,0.6537,0.6777,0.7145,0.7275,0.4518,0.7661,0.6573,0.7333,0.6599,0.6246,0.2274,0.2144,0.2812,0.2104,0.6999,0.654,0.6554,0.664,0.4022,0.5802,1,0.6512,0.2401,0.5241,0.517,0.5253,0.5542,0.7196,0.7241,0.7146
TN,0.5098,0.7029,0.7262,0.301,0.2298,0.4388,0.1815,0.1505,0.4026,0.4255,0.5897,0.2115,0.6638,0.6189,0.2301,0.716,0.7288,0.7658,0.6075,0.1647,0.2068,0.5295,0.6514,0.613,0.7264,0.598,0.657,0.7716,0.6476,0.5643,0.4903,0.202,0.1974,0.2282,0.1987,0.6764,0.6926,0.5403,0.6087,0.2633,0.7311,0.6512,1,0.2121,0.3731,0.5446,0.3393,0.3829,0.6149,0.7065,0.6359
TX,0.4084,0.2235,0.2106,0.5937,0.5986,0.2886,0.2563,0.1586,0.2552,0.3424,0.2531,0.4712,0.2746,0.2667,0.253,0.2483,0.2435,0.2469,0.2336,0.2555,0.2543,0.2727,0.2747,0.2712,0.2489,0.229,0.2664,0.2579,0.2427,0.234,0.2682,0.2994,0.5591,0.5931,0.3303,0.2715,0.3392,0.2489,0.2759,0.2303,0.2572,0.2401,0.2121,1,0.3471,0.2472,0.2443,0.2719,0.2762,0.2352,0.2132
UT,0.5634,0.2754,0.3663,0.5466,0.2575,0.6364,0.3679,0.1525,0.3327,0.2931,0.2585,0.2198,0.5649,0.6049,0.4386,0.5361,0.5528,0.4833,0.2952,0.4461,0.2611,0.44,0.5407,0.619,0.524,0.2306,0.5016,0.3453,0.591,0.6116,0.4829,0.3159,0.2205,0.4472,0.3583,0.5658,0.4341,0.5403,0.5588,0.4731,0.2809,0.5241,0.3731,0.3471,1,0.4203,0.3603,0.5909,0.5825,0.4179,0.497
VA,0.3061,0.5117,0.4901,0.3146,0.2501,0.5424,0.5351,0.1483,0.6533,0.5212,0.5187,0.246,0.645,0.5063,0.4995,0.602,0.5776,0.5835,0.4951,0.5243,0.4155,0.645,0.7239,0.7146,0.6607,0.4222,0.6306,0.6461,0.5411,0.555,0.6833,0.3846,0.2264,0.2516,0.364,0.7099,0.4122,0.5862,0.7368,0.4978,0.5966,0.517,0.5446,0.2472,0.4203,1,0.5755,0.5247,0.6798,0.5471,0.4701
VT,0.419,0.3406,0.3663,0.3728,0.2371,0.4827,0.5837,0.1415,0.5511,0.4432,0.2258,0.207,0.6238,0.4443,0.395,0.4596,0.4554,0.4534,0.2744,0.5373,0.2658,0.7377,0.6176,0.6479,0.4998,0.2488,0.645,0.4411,0.4962,0.4761,0.7355,0.3661,0.2348,0.2731,0.2984,0.5829,0.2984,0.5727,0.6413,0.534,0.3909,0.5253,0.3393,0.2443,0.3603,0.5755,1,0.5739,0.6738,0.4923,0.4533
WA,0.5532,0.2835,0.3742,0.6596,0.3385,0.7294,0.5977,0.1469,0.4588,0.5323,0.2337,0.2091,0.6487,0.5678,0.5572,0.5519,0.5629,0.5062,0.2227,0.6065,0.2405,0.6489,0.6499,0.7155,0.5573,0.2251,0.6222,0.4042,0.5443,0.5874,0.6918,0.5043,0.3319,0.5322,0.4664,0.6392,0.3911,0.7116,0.6993,0.6691,0.3167,0.5542,0.3829,0.2719,0.5909,0.5247,0.5739,1,0.7131,0.492,0.4966
WI,0.5923,0.5579,0.6051,0.5444,0.2743,0.6401,0.546,0.1608,0.6265,0.6048,0.4213,0.2359,0.8416,0.7091,0.5158,0.7545,0.7214,0.7315,0.4875,0.5099,0.2589,0.8174,0.8526,0.8418,0.7671,0.4317,0.8139,0.6838,0.6986,0.7072,0.802,0.377,0.2515,0.4416,0.3439,0.8452,0.5636,0.7635,0.86,0.6033,0.6138,0.7196,0.6149,0.2762,0.5825,0.6798,0.6738,0.7131,1,0.7149,0.6541
WV,0.5864,0.6611,0.6965,0.4014,0.2246,0.4962,0.3117,0.1646,0.4772,0.4994,0.5009,0.2037,0.7461,0.6739,0.2963,0.7442,0.7427,0.7743,0.5412,0.2543,0.2153,0.6635,0.7192,0.686,0.7537,0.5438,0.7628,0.7405,0.6813,0.624,0.6108,0.2203,0.2069,0.2946,0.2142,0.7362,0.671,0.6227,0.6915,0.3789,0.69,0.7241,0.7065,0.2352,0.4179,0.5471,0.4923,0.492,0.7149,1,0.695
WY,0.631,0.5647,0.6215,0.3902,0.2138,0.5335,0.2753,0.1556,0.3519,0.378,0.3822,0.2159,0.7075,0.6831,0.2226,0.6865,0.7332,0.7119,0.4441,0.2433,0.1906,0.6021,0.6203,0.6617,0.688,0.4328,0.7186,0.6232,0.7142,0.645,0.5767,0.1899,0.1993,0.243,0.182,0.6451,0.6361,0.5886,0.6062,0.3513,0.5617,0.7146,0.6359,0.2132,0.497,0.4701,0.4533,0.4966,0.6541,0.695,1
