date,party,poll_average_high,poll_average_low,poll_average_mean
2020-05-01,republican,0.494,0.43,0.462
2020-05-02,democratic,0.571,0.503,0.537
2020-05-02,republican,0.497,0.429,0.463
2020-05-03,democratic,0.565,0.506,0.537
2020-05-03,republican,0.494,0.435,0.463
2020-05-04,democratic,0.57,0.507,0.538
2020-05-04,republican,0.493,0.43,0.462
2020-05-05,democratic,0.573,0.508,0.538
2020-05-05,republican,0.492,0.427,0.462
2020-05-06,democratic,0.564,0.501,0.533
2020-05-06,republican,0.499,0.436,0.467
2020-05-07,democratic,0.565,0.502,0.532
2020-05-07,republican,0.498,0.435,0.468
2020-05-08,democratic,0.564,0.502,0.532
2020-05-08,republican,0.498,0.436,0.468
2020-05-09,democratic,0.565,0.502,0.534
2020-05-09,republican,0.498,0.435,0.466
2020-05-10,democratic,0.565,0.499,0.533
2020-05-10,republican,0.501,0.435,0.467
2020-05-11,democratic,0.564,0.5,0.535
2020-05-11,republican,0.5,0.436,0.465
2020-05-12,democratic,0.562,0.505,0.533
2020-05-12,republican,0.495,0.438,0.467
2020-05-13,democratic,0.565,0.501,0.534
2020-05-13,republican,0.499,0.435,0.466
2020-05-14,democratic,0.564,0.503,0.534
2020-05-14,republican,0.497,0.436,0.466
2020-05-15,democratic,0.566,0.507,0.537
2020-05-15,republican,0.493,0.434,0.463
2020-05-16,democratic,0.567,0.502,0.535
2020-05-16,republican,0.498,0.433,0.465
2020-05-17,democratic,0.57,0.498,0.536
2020-05-17,republican,0.502,0.43,0.464
2020-05-18,democratic,0.569,0.504,0.538
2020-05-18,republican,0.496,0.431,0.462
2020-05-19,democratic,0.57,0.503,0.536
2020-05-19,republican,0.497,0.43,0.464
2020-05-20,democratic,0.57,0.499,0.535
2020-05-20,republican,0.501,0.43,0.465
2020-05-21,democratic,0.571,0.508,0.539
2020-05-21,republican,0.492,0.429,0.461
2020-05-22,democratic,0.568,0.503,0.536
2020-05-22,republican,0.497,0.432,0.464
2020-05-23,democratic,0.568,0.503,0.536
2020-05-23,republican,0.497,0.432,0.464
2020-05-24,democratic,0.561,0.502,0.534
2020-05-24,republican,0.498,0.439,0.466
2020-05-25,democratic,0.567,0.505,0.536
2020-05-25,republican,0.495,0.433,0.464
2020-05-26,democratic,0.573,0.502,0.537
2020-05-26,republican,0.498,0.427,0.463
2020-05-27,democratic,0.567,0.503,0.535
2020-05-27,republican,0.497,0.433,0.465
2020-05-28,democratic,0.567,0.502,0.534
2020-05-28,republican,0.498,0.433,0.466
2020-05-29,democratic,0.566,0.504,0.536
2020-05-29,republican,0.496,0.434,0.464
2020-05-30,democratic,0.571,0.5,0.535
2020-05-30,republican,0.5,0.429,0.465
2020-05-31,democratic,0.569,0.505,0.538
2020-05-31,republican,0.495,0.431,0.462
2020-06-01,democratic,0.577,0.511,0.542
2020-06-01,republican,0.489,0.423,0.458
2020-06-02,democratic,0.566,0.507,0.539
2020-06-02,republican,0.493,0.434,0.461
2020-06-03,democratic,0.57,0.51,0.54
2020-06-03,republican,0.49,0.43,0.46
2020-06-04,democratic,0.573,0.505,0.539
2020-06-04,republican,0.495,0.427,0.461
2020-06-05,democratic,0.568,0.507,0.538
2020-06-05,republican,0.493,0.432,0.462
2020-06-06,democratic,0.569,0.509,0.538
2020-06-06,republican,0.491,0.431,0.462
2020-06-07,democratic,0.569,0.509,0.538
2020-06-07,republican,0.491,0.431,0.462
2020-06-08,democratic,0.575,0.511,0.543
2020-06-08,republican,0.489,0.425,0.457
2020-06-09,democratic,0.576,0.518,0.545
2020-06-09,republican,0.482,0.424,0.455
2020-06-10,democratic,0.579,0.518,0.545
2020-06-10,republican,0.482,0.421,0.455
2020-06-11,democratic,0.576,0.519,0.547
2020-06-11,republican,0.481,0.424,0.453
2020-06-12,democratic,0.58,0.516,0.549
2020-06-12,republican,0.484,0.42,0.451
2020-06-13,democratic,0.575,0.514,0.546
2020-06-13,republican,0.486,0.425,0.454
2020-06-14,democratic,0.579,0.516,0.548
2020-06-14,republican,0.484,0.421,0.452
2020-06-15,democratic,0.58,0.521,0.549
2020-06-15,republican,0.479,0.42,0.451
2020-06-16,democratic,0.585,0.523,0.551
2020-06-16,republican,0.477,0.415,0.449
2020-06-17,democratic,0.582,0.521,0.552
2020-06-17,republican,0.479,0.418,0.448
2020-06-18,democratic,0.578,0.518,0.55
2020-06-18,republican,0.482,0.422,0.45
2020-06-19,democratic,0.581,0.518,0.55
2020-06-19,republican,0.482,0.419,0.45
2020-06-20,democratic,0.586,0.523,0.553
2020-06-20,republican,0.477,0.414,0.447
2020-06-21,democratic,0.582,0.516,0.55
2020-06-21,republican,0.484,0.418,0.45
2020-06-22,democratic,0.578,0.513,0.547
2020-06-22,republican,0.487,0.422,0.453
2020-06-23,democratic,0.578,0.517,0.547
2020-06-23,republican,0.483,0.422,0.453
2020-06-24,democratic,0.575,0.518,0.546
2020-06-24,republican,0.482,0.425,0.454
2020-06-25,democratic,0.58,0.519,0.55
2020-06-25,republican,0.481,0.42,0.45
2020-06-26,democratic,0.578,0.52,0.549
2020-06-26,republican,0.48,0.422,0.451
2020-06-27,democratic,0.58,0.516,0.548
2020-06-27,republican,0.484,0.42,0.452
2020-06-28,democratic,0.577,0.514,0.546
2020-06-28,republican,0.486,0.423,0.454
2020-06-29,democratic,0.582,0.515,0.549
2020-06-29,republican,0.485,0.418,0.451
2020-06-30,democratic,0.581,0.521,0.548
2020-06-30,republican,0.479,0.419,0.452
2020-07-01,democratic,0.578,0.519,0.548
2020-07-01,republican,0.481,0.422,0.452
2020-07-02,democratic,0.58,0.521,0.549
2020-07-02,republican,0.479,0.42,0.451
2020-07-03,democratic,0.578,0.521,0.55
2020-07-03,republican,0.479,0.422,0.45
2020-07-04,democratic,0.578,0.517,0.547
2020-07-04,republican,0.483,0.422,0.453
2020-07-05,democratic,0.577,0.515,0.547
2020-07-05,republican,0.485,0.423,0.453
2020-07-06,democratic,0.576,0.52,0.547
2020-07-06,republican,0.48,0.424,0.453
2020-07-07,democratic,0.579,0.519,0.549
2020-07-07,republican,0.481,0.421,0.451
2020-07-08,democratic,0.58,0.512,0.546
2020-07-08,republican,0.488,0.42,0.454
2020-07-09,democratic,0.582,0.516,0.547
2020-07-09,republican,0.484,0.418,0.453
2020-07-10,democratic,0.582,0.52,0.55
2020-07-10,republican,0.48,0.418,0.45
2020-07-11,democratic,0.58,0.517,0.548
2020-07-11,republican,0.483,0.42,0.452
2020-07-12,democratic,0.58,0.516,0.547
2020-07-12,republican,0.484,0.42,0.453
2020-07-13,democratic,0.576,0.513,0.545
2020-07-13,republican,0.487,0.424,0.455
2020-07-14,democratic,0.581,0.522,0.55
2020-07-14,republican,0.478,0.419,0.45
2020-07-15,democratic,0.582,0.526,0.554
2020-07-15,republican,0.474,0.418,0.446
2020-07-16,democratic,0.584,0.518,0.552
2020-07-16,republican,0.482,0.416,0.448
2020-07-17,democratic,0.583,0.523,0.553
2020-07-17,republican,0.477,0.417,0.447
2020-07-18,democratic,0.586,0.522,0.553
2020-07-18,republican,0.478,0.414,0.447
2020-07-19,democratic,0.584,0.52,0.552
2020-07-19,republican,0.48,0.416,0.448
2020-07-20,democratic,0.575,0.522,0.547
2020-07-20,republican,0.478,0.425,0.453
2020-07-21,democratic,0.581,0.519,0.55
2020-07-21,republican,0.481,0.419,0.45
2020-07-22,democratic,0.582,0.517,0.548
2020-07-22,republican,0.483,0.418,0.452
2020-07-23,democratic,0.581,0.516,0.549
2020-07-23,republican,0.484,0.419,0.451
2020-07-24,democratic,0.578,0.516,0.548
2020-07-24,republican,0.484,0.422,0.452
2020-07-25,democratic,0.576,0.516,0.546
2020-07-25,republican,0.484,0.424,0.454
2020-07-26,democratic,0.578,0.515,0.547
2020-07-26,republican,0.485,0.422,0.453
2020-07-27,democratic,0.579,0.517,0.545
2020-07-27,republican,0.483,0.421,0.455
2020-07-28,democratic,0.579,0.519,0.546
2020-07-28,republican,0.481,0.421,0.454
2020-07-29,democratic,0.577,0.516,0.547
2020-07-29,republican,0.484,0.423,0.453
2020-07-30,democratic,0.581,0.52,0.549
2020-07-30,republican,0.48,0.419,0.451
2020-07-31,democratic,0.576,0.517,0.548
2020-07-31,republican,0.483,0.424,0.452
2020-08-01,democratic,0.577,0.515,0.547
2020-08-01,republican,0.485,0.423,0.453
2020-08-02,democratic,0.578,0.515,0.548
2020-08-02,republican,0.485,0.422,0.452
2020-08-03,democratic,0.577,0.518,0.547
2020-08-03,republican,0.482,0.423,0.453
2020-08-04,democratic,0.579,0.522,0.548
2020-08-04,republican,0.478,0.421,0.452
2020-08-05,democratic,0.577,0.519,0.548
2020-08-05,republican,0.481,0.423,0.452
2020-08-06,democratic,0.576,0.521,0.549
2020-08-06,republican,0.479,0.424,0.451
2020-08-07,democratic,0.579,0.52,0.55
2020-08-07,republican,0.48,0.421,0.45
2020-08-08,democratic,0.581,0.524,0.553
2020-08-08,republican,0.476,0.419,0.447
2020-08-09,democratic,0.577,0.519,0.549
2020-08-09,republican,0.481,0.423,0.451
2020-08-10,democratic,0.578,0.52,0.548
2020-08-10,republican,0.48,0.422,0.452
2020-08-11,democratic,0.579,0.521,0.548
2020-08-11,republican,0.479,0.421,0.452
2020-08-12,democratic,0.578,0.518,0.548
2020-08-12,republican,0.482,0.422,0.452
2020-08-13,democratic,0.574,0.515,0.544
2020-08-13,republican,0.485,0.426,0.456
2020-08-14,democratic,0.582,0.516,0.548
2020-08-14,republican,0.484,0.418,0.452
2020-08-15,democratic,0.574,0.515,0.547
2020-08-15,republican,0.485,0.426,0.453
2020-08-16,democratic,0.574,0.515,0.544
2020-08-16,republican,0.485,0.426,0.456
2020-08-17,democratic,0.571,0.513,0.544
2020-08-17,republican,0.487,0.429,0.456
2020-08-18,democratic,0.574,0.512,0.543
2020-08-18,republican,0.488,0.426,0.457
2020-08-19,democratic,0.575,0.513,0.544
2020-08-19,republican,0.487,0.425,0.456
2020-08-20,democratic,0.575,0.512,0.544
2020-08-20,republican,0.488,0.425,0.456
2020-08-21,democratic,0.573,0.517,0.545
2020-08-21,republican,0.483,0.427,0.455
2020-08-22,democratic,0.572,0.513,0.546
2020-08-22,republican,0.487,0.428,0.454
2020-08-23,democratic,0.579,0.515,0.547
2020-08-23,republican,0.485,0.421,0.453
2020-08-24,democratic,0.577,0.518,0.549
2020-08-24,republican,0.482,0.423,0.451
2020-08-25,democratic,0.58,0.521,0.55
2020-08-25,republican,0.479,0.42,0.45
2020-08-26,democratic,0.583,0.52,0.548
2020-08-26,republican,0.48,0.417,0.452
2020-08-27,democratic,0.579,0.516,0.547
2020-08-27,republican,0.484,0.421,0.453
2020-08-28,democratic,0.581,0.517,0.547
2020-08-28,republican,0.483,0.419,0.453
2020-08-29,democratic,0.57,0.515,0.544
2020-08-29,republican,0.485,0.43,0.456
2020-08-30,democratic,0.576,0.51,0.542
2020-08-30,republican,0.49,0.424,0.458
2020-08-31,democratic,0.579,0.511,0.543
2020-08-31,republican,0.489,0.421,0.457
2020-09-01,democratic,0.572,0.509,0.542
2020-09-01,republican,0.491,0.428,0.458
2020-09-02,democratic,0.575,0.514,0.543
2020-09-02,republican,0.486,0.425,0.457
2020-09-03,democratic,0.575,0.514,0.543
2020-09-03,republican,0.486,0.425,0.457
2020-09-04,democratic,0.57,0.51,0.541
2020-09-04,republican,0.49,0.43,0.459
2020-09-05,democratic,0.57,0.511,0.542
2020-09-05,republican,0.489,0.43,0.458
2020-09-06,democratic,0.577,0.512,0.543
2020-09-06,republican,0.488,0.423,0.457
2020-09-07,democratic,0.566,0.513,0.54
2020-09-07,republican,0.487,0.434,0.46
2020-09-08,democratic,0.571,0.506,0.54
2020-09-08,republican,0.494,0.429,0.46
2020-09-09,democratic,0.57,0.513,0.541
2020-09-09,republican,0.487,0.43,0.459
2020-09-10,democratic,0.567,0.513,0.539
2020-09-10,republican,0.487,0.433,0.461
2020-09-11,democratic,0.57,0.507,0.539
2020-09-11,republican,0.493,0.43,0.461
2020-09-12,democratic,0.564,0.513,0.538
2020-09-12,republican,0.487,0.436,0.462
2020-09-13,democratic,0.569,0.513,0.539
2020-09-13,republican,0.487,0.431,0.461
2020-09-14,democratic,0.571,0.507,0.54
2020-09-14,republican,0.493,0.429,0.46
2020-09-15,democratic,0.569,0.511,0.539
2020-09-15,republican,0.489,0.431,0.461
2020-09-16,democratic,0.574,0.513,0.541
2020-09-16,republican,0.487,0.426,0.459
2020-09-17,democratic,0.574,0.513,0.54
2020-09-17,republican,0.487,0.426,0.46
2020-09-18,democratic,0.569,0.513,0.539
2020-09-18,republican,0.487,0.431,0.461
2020-09-19,democratic,0.572,0.509,0.54
2020-09-19,republican,0.491,0.428,0.46
2020-09-20,democratic,0.568,0.514,0.539
2020-09-20,republican,0.486,0.432,0.461
2020-09-21,democratic,0.564,0.508,0.537
2020-09-21,republican,0.492,0.436,0.463
2020-09-22,democratic,0.567,0.508,0.537
2020-09-22,republican,0.492,0.433,0.463
2020-09-23,democratic,0.562,0.514,0.54
2020-09-23,republican,0.486,0.438,0.46
2020-09-24,democratic,0.567,0.511,0.538
2020-09-24,republican,0.489,0.433,0.462
2020-09-25,democratic,0.569,0.509,0.539
2020-09-25,republican,0.491,0.431,0.461
2020-09-26,democratic,0.568,0.506,0.539
2020-09-26,republican,0.494,0.432,0.461
2020-09-27,democratic,0.566,0.514,0.54
2020-09-27,republican,0.486,0.434,0.46
2020-09-28,democratic,0.576,0.51,0.541
2020-09-28,republican,0.49,0.424,0.459
2020-09-29,democratic,0.566,0.511,0.539
2020-09-29,republican,0.489,0.434,0.461
2020-09-30,democratic,0.564,0.513,0.541
2020-09-30,republican,0.487,0.436,0.459
2020-10-01,democratic,0.575,0.512,0.543
2020-10-01,republican,0.488,0.425,0.457
2020-10-02,democratic,0.564,0.509,0.538
2020-10-02,republican,0.491,0.436,0.462
2020-10-03,democratic,0.569,0.51,0.54
2020-10-03,republican,0.49,0.431,0.46
2020-10-04,democratic,0.57,0.514,0.542
2020-10-04,republican,0.486,0.43,0.458
2020-10-05,democratic,0.574,0.513,0.542
2020-10-05,republican,0.487,0.426,0.458
2020-10-06,democratic,0.571,0.515,0.543
2020-10-06,republican,0.485,0.429,0.457
2020-10-07,democratic,0.568,0.515,0.544
2020-10-07,republican,0.485,0.432,0.456
2020-10-08,democratic,0.575,0.516,0.547
2020-10-08,republican,0.484,0.425,0.453
2020-10-09,democratic,0.576,0.517,0.544
2020-10-09,republican,0.483,0.424,0.456
2020-10-10,democratic,0.57,0.517,0.543
2020-10-10,republican,0.483,0.43,0.457
2020-10-11,democratic,0.569,0.518,0.543
2020-10-11,republican,0.482,0.431,0.457
2020-10-12,democratic,0.574,0.513,0.542
2020-10-12,republican,0.487,0.426,0.458
2020-10-13,democratic,0.568,0.511,0.541
2020-10-13,republican,0.489,0.432,0.459
2020-10-14,democratic,0.569,0.514,0.542
2020-10-14,republican,0.486,0.431,0.458
2020-10-15,democratic,0.57,0.517,0.544
2020-10-15,republican,0.483,0.43,0.456
2020-10-16,democratic,0.569,0.512,0.541
2020-10-16,republican,0.488,0.431,0.459
2020-10-17,democratic,0.571,0.512,0.543
2020-10-17,republican,0.488,0.429,0.457
2020-10-18,democratic,0.571,0.515,0.542
2020-10-18,republican,0.485,0.429,0.458
2020-10-19,democratic,0.569,0.52,0.544
2020-10-19,republican,0.48,0.431,0.456
2020-10-20,democratic,0.57,0.516,0.544
2020-10-20,republican,0.484,0.43,0.456
2020-10-21,democratic,0.567,0.515,0.542
2020-10-21,republican,0.485,0.433,0.458
2020-10-22,democratic,0.567,0.518,0.542
2020-10-22,republican,0.482,0.433,0.458
2020-10-23,democratic,0.569,0.511,0.541
2020-10-23,republican,0.489,0.431,0.459
2020-10-24,democratic,0.568,0.516,0.541
2020-10-24,republican,0.484,0.432,0.459
2020-10-25,democratic,0.573,0.519,0.545
2020-10-25,republican,0.481,0.427,0.455
2020-10-26,democratic,0.575,0.516,0.545
2020-10-26,republican,0.484,0.425,0.455
2020-10-27,democratic,0.57,0.517,0.544
2020-10-27,republican,0.483,0.43,0.456
2020-10-28,democratic,0.57,0.515,0.544
2020-10-28,republican,0.485,0.43,0.456
2020-10-29,democratic,0.571,0.514,0.543
2020-10-29,republican,0.486,0.429,0.457
