state,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
MN,0.6114,0.4885,0.5526,0.5144,0.2123,0.7235,0.5255,0.1698,0.5363,0.4847,0.3483,0.1815,0.8271,0.7308,0.5168,0.7539,0.7654,0.7241,0.4122,0.5304,0.2041,0.7625,0.7933,1,0.779,0.3362,0.7972,0.6265,0.7306,0.737,0.7807,0.3242,0.2492,0.3377,0.3019,0.8176,0.5528,0.7957,0.8112,0.5809,0.5251,0.7253,0.6128,0.2218,0.6292,0.6971,0.6419,0.7352,0.8533,0.6845,0.6614
MO,0.6131,0.6487,0.6865,0.4465,0.2204,0.575,0.3546,0.1865,0.5254,0.4979,0.5491,0.2237,0.8098,0.7327,0.3928,0.797,0.7977,0.8097,0.5765,0.3361,0.1991,0.6786,0.799,0.779,1,0.5267,0.7821,0.7735,0.7479,0.7101,0.655,0.2305,0.2676,0.3095,0.2238,0.818,0.665,0.6979,0.7552,0.4259,0.7089,0.7488,0.7343,0.2543,0.5321,0.6593,0.5091,0.5827,0.7813,0.7741,0.7029
MS,0.2891,0.7062,0.5826,0.2182,0.26,0.2036,0.1621,0.1649,0.346,0.2774,0.7419,0.1873,0.4366,0.374,0.1545,0.5056,0.4575,0.5522,0.7092,0.1904,0.1731,0.3292,0.4585,0.3362,0.5267,1,0.4127,0.6785,0.4084,0.3197,0.2487,0.2235,0.2337,0.1961,0.2123,0.4469,0.5193,0.2761,0.3715,0.1528,0.703,0.4294,0.5965,0.2361,0.1872,0.3685,0.18,0.1751,0.3749,0.5124,0.414
MT,0.6637,0.5757,0.6262,0.4546,0.1958,0.6058,0.4285,0.1836,0.4872,0.4616,0.3781,0.1916,0.8343,0.7301,0.356,0.7531,0.7767,0.7792,0.4303,0.391,0.1862,0.7617,0.7558,0.7972,0.7821,0.4127,1,0.68,0.7321,0.7038,0.7364,0.212,0.2583,0.2661,0.2131,0.7715,0.623,0.7345,0.7493,0.475,0.5919,0.7683,0.6616,0.2353,0.5023,0.6082,0.6301,0.6254,0.8037,0.7678,0.7359
NC,0.4587,0.7809,0.7191,0.2784,0.2461,0.3692,0.2654,0.2078,0.5448,0.5057,0.6919,0.2287,0.6836,0.5677,0.2932,0.7396,0.6957,0.78,0.6848,0.2302,0.235,0.5908,0.7313,0.6265,0.7735,0.6785,0.68,1,0.6105,0.5386,0.5334,0.2343,0.2443,0.2522,0.238,0.7302,0.6381,0.556,0.6662,0.3004,0.8316,0.6401,0.773,0.2499,0.3047,0.6416,0.4143,0.3872,0.6589,0.7384,0.6028
ND,0.6799,0.5414,0.6312,0.4241,0.2144,0.5839,0.3117,0.1868,0.3926,0.3322,0.3917,0.1994,0.7511,0.7152,0.3149,0.7137,0.757,0.7365,0.4533,0.3403,0.195,0.61,0.6597,0.7306,0.7479,0.4084,0.7321,0.6105,1,0.6906,0.596,0.2182,0.2472,0.2358,0.2248,0.684,0.6349,0.6496,0.6421,0.4062,0.5508,0.7327,0.639,0.2195,0.5874,0.5254,0.4902,0.5622,0.7112,0.6949,0.7238
NE,0.6184,0.4549,0.5182,0.5044,0.199,0.6251,0.3804,0.1566,0.4173,0.412,0.3409,0.1981,0.7349,0.7338,0.4203,0.7087,0.7137,0.6684,0.3969,0.3905,0.1885,0.6197,0.6821,0.737,0.7101,0.3197,0.7038,0.5386,0.6906,1,0.6181,0.2322,0.2595,0.3397,0.2197,0.714,0.5578,0.6777,0.6693,0.488,0.4618,0.6766,0.5665,0.2335,0.6396,0.5409,0.4859,0.6129,0.7157,0.6517,0.6479
NH,0.4968,0.4013,0.4481,0.484,0.2117,0.6329,0.6314,0.1728,0.5821,0.5645,0.2565,0.1871,0.7194,0.607,0.5004,0.6156,0.6059,0.6033,0.3115,0.5865,0.2522,0.8179,0.7319,0.7807,0.655,0.2487,0.7364,0.5334,0.596,0.6181,1,0.4271,0.242,0.3392,0.3349,0.7218,0.4273,0.7209,0.776,0.5961,0.4621,0.6291,0.5005,0.2043,0.4717,0.6528,0.7315,0.69,0.793,0.6165,0.5793
NJ,0.1885,0.2231,0.208,0.5427,0.4972,0.4123,0.6231,0.258,0.4381,0.5644,0.2785,0.3976,0.2524,0.2125,0.5445,0.2252,0.2259,0.2378,0.2304,0.6354,0.5056,0.3548,0.3742,0.3242,0.2305,0.2235,0.212,0.2343,0.2182,0.2322,0.4271,1,0.4197,0.5513,0.7388,0.3214,0.2045,0.3737,0.4485,0.5227,0.2195,0.217,0.2167,0.2518,0.2943,0.3645,0.3549,0.4653,0.3591,0.2228,0.1697
NM,0.3656,0.2304,0.2399,0.5839,0.609,0.2542,0.2663,0.1392,0.1891,0.4201,0.2698,0.6859,0.2605,0.2506,0.1828,0.2554,0.2689,0.2651,0.2405,0.2232,0.197,0.2569,0.2662,0.2492,0.2676,0.2337,0.2583,0.2443,0.2472,0.2595,0.242,0.4197,1,0.5448,0.3566,0.2557,0.2252,0.2645,0.2617,0.2903,0.2502,0.2467,0.2399,0.545,0.2223,0.2076,0.2128,0.3176,0.257,0.2368,0.2281
NV,0.3608,0.2105,0.226,0.7823,0.586,0.3844,0.4141,0.1195,0.3572,0.6145,0.2393,0.4389,0.3301,0.3598,0.5152,0.3349,0.2839,0.293,0.2271,0.4128,0.2126,0.3166,0.4389,0.3377,0.3095,0.1961,0.2661,0.2522,0.2358,0.3397,0.3392,0.5513,0.5448,1,0.5796,0.4212,0.2944,0.4199,0.4578,0.5016,0.2294,0.2834,0.2456,0.5898,0.4471,0.211,0.2459,0.5196,0.4057,0.2923,0.2284
NY,0.2163,0.2088,0.2146,0.5212,0.5346,0.3847,0.5096,0.3126,0.4025,0.5067,0.2565,0.3345,0.2556,0.2082,0.5726,0.2233,0.2443,0.2423,0.1957,0.5522,0.5295,0.2686,0.3564,0.3019,0.2238,0.2123,0.2131,0.238,0.2248,0.2197,0.3349,0.7388,0.3566,0.5796,1,0.3083,0.222,0.3465,0.414,0.5009,0.2128,0.2241,0.2153,0.2993,0.3497,0.3363,0.2634,0.4549,0.3253,0.2123,0.1753
OH,0.554,0.5961,0.6207,0.519,0.2166,0.5921,0.494,0.1679,0.6324,0.6116,0.5037,0.1945,0.8191,0.7167,0.5184,0.7811,0.7384,0.7576,0.54990000000000006,0.4597,0.2248,0.7496,0.869,0.8176,0.818,0.4469,0.7715,0.7302,0.684,0.714,0.7218,0.3214,0.2557,0.4212,0.3083,1,0.58,0.7502,0.8484,0.5584,0.6585,0.7096,0.6814,0.2438,0.5685,0.6936,0.587,0.6752,0.848,0.737,0.643
OK,0.66,0.6474,0.6678,0.4193,0.2443,0.4775,0.1493,0.1579,0.2473,0.3441,0.4611,0.1993,0.6137,0.6203,0.1755,0.6612,0.7153,0.7129,0.4845,0.1929,0.1574,0.4423,0.5444,0.5528,0.665,0.5193,0.623,0.6381,0.6349,0.5578,0.4273,0.2045,0.2252,0.2944,0.222,0.58,1,0.5437,0.5191,0.2059,0.593,0.667,0.7014,0.3594,0.4442,0.3765,0.268,0.3806,0.547,0.6757,0.6385
OR,0.6161,0.4185,0.5121,0.5881,0.1987,0.7158,0.5131,0.1814,0.4735,0.557,0.2779,0.1646,0.7619,0.685,0.5152,0.6834,0.7241,0.6707,0.3134,0.5325,0.2131,0.7041,0.7438,0.7957,0.6979,0.2761,0.7345,0.556,0.6496,0.6777,0.7209,0.3737,0.2645,0.4199,0.3465,0.7502,0.5437,1,0.7682,0.5931,0.4532,0.6741,0.5498,0.2167,0.5635,0.5787,0.5796,0.7406,0.7846,0.6592,0.6121
PA,0.5098,0.534,0.5528,0.5586,0.2234,0.6239,0.6166,0.1789,0.7022,0.7053,0.4418,0.1989,0.7837,0.6851,0.5982,0.7281,0.6884,0.7086,0.4807,0.5515,0.3184,0.7833,0.8648,0.8112,0.7552,0.3715,0.7493,0.6662,0.6421,0.6693,0.776,0.4485,0.2617,0.4578,0.414,0.8484,0.5191,0.7682,1,0.6328,0.6052,0.666,0.6106,0.2294,0.5366,0.7302,0.6451,0.7073,0.8483,0.7028,0.6121
RI,0.3584,0.17,0.2148,0.577,0.2703,0.5555,0.6401,0.0966,0.5152,0.5497,0.1973,0.153,0.5093,0.4569,0.645,0.4315,0.4153,0.3885,0.184,0.5956,0.305,0.5796,0.569,0.5809,0.4259,0.1528,0.475,0.3004,0.4062,0.488,0.5961,0.5227,0.2903,0.5016,0.5009,0.5584,0.2059,0.5931,0.6328,1,0.2318,0.4088,0.2771,0.1757,0.4804,0.4887,0.5321,0.6943,0.6098,0.3761,0.3356
SC,0.3827,0.7883,0.7075,0.2513,0.237,0.2757,0.2115,0.1925,0.5255,0.4805,0.7362,0.2287,0.6048,0.5073,0.2178,0.6595,0.6043,0.7134,0.7263,0.2038,0.2215,0.5289,0.6688,0.5251,0.7089,0.703,0.5919,0.8316,0.5508,0.4618,0.4621,0.2195,0.2502,0.2294,0.2128,0.6585,0.593,0.4532,0.6052,0.2318,1,0.5741,0.7384,0.2503,0.2398,0.5835,0.3463,0.295,0.5691,0.6827,0.5577
SD,0.694,0.572,0.6323,0.4555,0.2064,0.5893,0.3238,0.1744,0.4111,0.3984,0.406,0.1823,0.7757,0.7281,0.3249,0.7348,0.7754,0.753,0.4474,0.3148,0.1782,0.6571,0.6858,0.7253,0.7488,0.4294,0.7683,0.6401,0.7327,0.6766,0.6291,0.217,0.2467,0.2834,0.2241,0.7096,0.667,0.6741,0.666,0.4088,0.5741,1,0.6665,0.2486,0.5327,0.5073,0.5131,0.5725,0.7239,0.7312,0.7073
TN,0.5502,0.7104,0.7155,0.3403,0.2338,0.4384,0.1994,0.1796,0.4132,0.4349,0.5901,0.2081,0.6707,0.6172,0.2419,0.732,0.7229,0.7734,0.6023,0.2013,0.1833,0.5448,0.6575,0.6128,0.7343,0.5965,0.6616,0.773,0.639,0.5665,0.5005,0.2167,0.2399,0.2456,0.2153,0.6814,0.7014,0.5498,0.6106,0.2771,0.7384,0.6665,1,0.2417,0.3807,0.5396,0.3433,0.4083,0.6179,0.7177,0.648
TX,0.3909,0.2351,0.233,0.5667,0.5785,0.2464,0.1728,0.1254,0.183,0.2968,0.2509,0.4749,0.2389,0.2576,0.184,0.2561,0.2384,0.2404,0.2373,0.19,0.1799,0.2078,0.2534,0.2218,0.2543,0.2361,0.2353,0.2499,0.2195,0.2335,0.2043,0.2518,0.545,0.5898,0.2993,0.2438,0.3594,0.2167,0.2294,0.1757,0.2503,0.2486,0.2417,1,0.3356,0.1928,0.1725,0.2402,0.2375,0.2414,0.2175
UT,0.5985,0.2467,0.351,0.5581,0.2386,0.6441,0.3511,0.1393,0.282,0.2403,0.2102,0.1849,0.5791,0.63,0.4721,0.5443,0.5627,0.4758,0.2652,0.4444,0.1791,0.4152,0.5352,0.6292,0.5321,0.1872,0.5023,0.3047,0.5874,0.6396,0.4717,0.2943,0.2223,0.4471,0.3497,0.5685,0.4442,0.5635,0.5366,0.4804,0.2398,0.5327,0.3807,0.3356,1,0.3942,0.3488,0.619,0.5985,0.4308,0.4867
VA,0.2907,0.4851,0.448,0.286,0.196,0.5276,0.5417,0.1941,0.6569,0.5159,0.4945,0.186,0.6171,0.5013,0.4944,0.5896,0.5696,0.5741,0.4827,0.5105,0.4102,0.6331,0.7119,0.6971,0.6593,0.3685,0.6082,0.6416,0.5254,0.5409,0.6528,0.3645,0.2076,0.211,0.3363,0.6936,0.3765,0.5787,0.7302,0.4887,0.5835,0.5073,0.5396,0.1928,0.3942,1,0.5428,0.5179,0.669,0.5437,0.4734
VT,0.4264,0.2937,0.3554,0.3752,0.1724,0.4693,0.5919,0.1061,0.5547,0.4407,0.1795,0.156,0.6139,0.4637,0.4119,0.4672,0.4734,0.4613,0.2435,0.5318,0.2449,0.7506,0.6123,0.6419,0.5091,0.18,0.6301,0.4143,0.4902,0.4859,0.7315,0.3549,0.2128,0.2459,0.2634,0.587,0.268,0.5796,0.6451,0.5321,0.3463,0.5131,0.3433,0.1725,0.3488,0.5428,1,0.5566,0.6772,0.4881,0.4551
WA,0.553,0.2459,0.3589,0.6716,0.2877,0.7413,0.5888,0.1515,0.4524,0.5191,0.2099,0.1804,0.6696,0.599,0.5991,0.5741,0.5922,0.5288,0.1888,0.6036,0.1979,0.6431,0.6666,0.7352,0.5827,0.1751,0.6254,0.3872,0.5622,0.6129,0.69,0.4653,0.3176,0.5196,0.4549,0.6752,0.3806,0.7406,0.7073,0.6943,0.295,0.5725,0.4083,0.2402,0.619,0.5179,0.5566,1,0.7334,0.5198,0.4932
WI,0.6123,0.5203,0.5784,0.5593,0.2173,0.6445,0.5621,0.1761,0.615,0.5699,0.3814,0.1937,0.8531,0.7263,0.536,0.7647,0.7406,0.7315,0.466,0.5357,0.2271,0.8086,0.8562,0.8533,0.7813,0.3749,0.8037,0.6589,0.7112,0.7157,0.793,0.3591,0.257,0.4057,0.3253,0.848,0.547,0.7846,0.8483,0.6098,0.5691,0.7239,0.6179,0.2375,0.5985,0.669,0.6772,0.7334,1,0.7182,0.6626
WV,0.6072,0.6628,0.6872,0.4302,0.212,0.5055,0.3158,0.1741,0.472,0.495,0.4984,0.197,0.7622,0.6888,0.3206,0.764,0.7521,0.7856,0.5178,0.271,0.1842,0.656,0.7405,0.6845,0.7741,0.5124,0.7678,0.7384,0.6949,0.6517,0.6165,0.2228,0.2368,0.2923,0.2123,0.737,0.6757,0.6592,0.7028,0.3761,0.6827,0.7312,0.7177,0.2414,0.4308,0.5437,0.4881,0.5198,0.7182,1,0.7085
WY,0.6586,0.5734,0.6139,0.3963,0.192,0.5299,0.2662,0.1549,0.3471,0.3525,0.3786,0.1848,0.7116,0.6809,0.231,0.6848,0.7298,0.7267,0.4327,0.2727,0.1476,0.6074,0.621,0.6614,0.7029,0.414,0.7359,0.6028,0.7238,0.6479,0.5793,0.1697,0.2281,0.2284,0.1753,0.643,0.6385,0.6121,0.6121,0.3356,0.5577,0.7073,0.648,0.2175,0.4867,0.4734,0.4551,0.4932,0.6626,0.7085,1
