state,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,1,0.4203,0.5518,0.5571,0.2089,0.5588,0.2189,0.1749,0.222,0.3023,0.2372,0.1854,0.6755,0.6705,0.2375,0.6361,0.7069,0.6415,0.2853,0.2482,0.1649,0.5157,0.5305,0.6114,0.6131,0.2891,0.6637,0.4587,0.6799,0.6184,0.4968,0.1885,0.3656,0.3608,0.2163,0.554,0.66,0.6161,0.5098,0.3584,0.3827,0.694,0.5502,0.3909,0.5985,0.2907,0.4264,0.553,0.6123,0.6072,0.6586
AL,0.4203,1,0.6995,0.2325,0.2193,0.2542,0.1794,0.2089,0.4275,0.4012,0.6802,0.2306,0.57,0.5031,0.153,0.6368,0.6004,0.6874,0.7016,0.1922,0.2102,0.463,0.5877,0.4885,0.6487,0.7062,0.5757,0.7809,0.5414,0.4549,0.4013,0.2231,0.2304,0.2105,0.2088,0.5961,0.6474,0.4185,0.534,0.17,0.7883,0.572,0.7104,0.2351,0.2467,0.4851,0.2937,0.2459,0.5203,0.6628,0.5734
AR,0.5518,0.6995,1,0.3086,0.2241,0.3655,0.1575,0.1648,0.3706,0.3867,0.5489,0.2074,0.6372,0.5733,0.1914,0.6719,0.6727,0.7262,0.5722,0.1776,0.1681,0.49,0.6128,0.5526,0.6865,0.5826,0.6262,0.7191,0.6312,0.5182,0.4481,0.208,0.2399,0.226,0.2146,0.6207,0.6678,0.5121,0.5528,0.2148,0.7075,0.6323,0.7155,0.233,0.351,0.448,0.3554,0.3589,0.5784,0.6872,0.6139
AZ,0.5571,0.2325,0.3086,1,0.5534,0.6015,0.4921,0.1442,0.3468,0.603,0.2408,0.4228,0.5061,0.5229,0.5208,0.4718,0.4685,0.4335,0.248,0.4979,0.2023,0.4732,0.5309,0.5144,0.4465,0.2182,0.4546,0.2784,0.4241,0.5044,0.484,0.5427,0.5839,0.7823,0.5212,0.519,0.4193,0.5881,0.5586,0.577,0.2513,0.4555,0.3403,0.5667,0.5581,0.286,0.3752,0.6716,0.5593,0.4302,0.3963
CA,0.2089,0.2193,0.2241,0.5534,1,0.2573,0.2372,0.2294,0.1645,0.3314,0.2456,0.6622,0.2058,0.198,0.2849,0.2101,0.2386,0.2294,0.2209,0.2926,0.2147,0.1962,0.2293,0.2123,0.2204,0.26,0.1958,0.2461,0.2144,0.199,0.2117,0.4972,0.609,0.586,0.5346,0.2166,0.2443,0.1987,0.2234,0.2703,0.237,0.2064,0.2338,0.5785,0.2386,0.196,0.1724,0.2877,0.2173,0.212,0.192
CO,0.5588,0.2542,0.3655,0.6015,0.2573,1,0.512,0.1657,0.3087,0.3783,0.2406,0.169,0.6293,0.6063,0.4926,0.5614,0.6522,0.5389,0.2248,0.5921,0.2028,0.5534,0.5673,0.7235,0.575,0.2036,0.6058,0.3692,0.5839,0.6251,0.6329,0.4123,0.2542,0.3844,0.3847,0.5921,0.4775,0.7158,0.6239,0.5555,0.2757,0.5893,0.4384,0.2464,0.6441,0.5276,0.4693,0.7413,0.6445,0.5055,0.5299
CT,0.2189,0.1794,0.1575,0.4921,0.2372,0.512,1,0.1178,0.5863,0.5576,0.2172,0.2026,0.4396,0.3454,0.5899,0.3272,0.3065,0.2891,0.1894,0.7038,0.4166,0.5876,0.533,0.5255,0.3546,0.1621,0.4285,0.2654,0.3117,0.3804,0.6314,0.6231,0.2663,0.4141,0.5096,0.494,0.1493,0.5131,0.6166,0.6401,0.2115,0.3238,0.1994,0.1728,0.3511,0.5417,0.5919,0.5888,0.5621,0.3158,0.2662
DC,0.1749,0.2089,0.1648,0.1442,0.2294,0.1657,0.1178,1,0.1255,0.1655,0.2035,0.1884,0.1803,0.1509,0.1001,0.1787,0.1814,0.1903,0.1807,0.2111,0.501,0.1723,0.1745,0.1698,0.1865,0.1649,0.1836,0.2078,0.1868,0.1566,0.1728,0.258,0.1392,0.1195,0.3126,0.1679,0.1579,0.1814,0.1789,0.0966,0.1925,0.1744,0.1796,0.1254,0.1393,0.1941,0.1061,0.1515,0.1761,0.1741,0.1549
DE,0.222,0.4275,0.3706,0.3468,0.1645,0.3087,0.5863,0.1255,1,0.6382,0.4743,0.1493,0.5418,0.405,0.5735,0.4947,0.3805,0.4637,0.4749,0.4766,0.4571,0.6045,0.6963,0.5363,0.5254,0.346,0.4872,0.5448,0.3926,0.4173,0.5821,0.4381,0.1891,0.3572,0.4025,0.6324,0.2473,0.4735,0.7022,0.5152,0.5255,0.4111,0.4132,0.183,0.282,0.6569,0.5547,0.4524,0.615,0.472,0.3471
FL,0.3023,0.4012,0.3867,0.603,0.3314,0.3783,0.5576,0.1655,0.6382,1,0.3782,0.3131,0.4785,0.4226,0.5311,0.4857,0.406,0.472,0.3779,0.436,0.3773,0.5751,0.6575,0.4847,0.4979,0.2774,0.4616,0.5057,0.3322,0.412,0.5645,0.5644,0.4201,0.6145,0.5067,0.6116,0.3441,0.557,0.7053,0.5497,0.4805,0.3984,0.4349,0.2968,0.2403,0.5159,0.4407,0.5191,0.5699,0.495,0.3525
GA,0.2372,0.6802,0.5489,0.2408,0.2456,0.2406,0.2172,0.2035,0.4743,0.3782,1,0.2244,0.4241,0.3685,0.2186,0.516,0.4438,0.5428,0.7645,0.2172,0.2964,0.3173,0.5259,0.3483,0.5491,0.7419,0.3781,0.6919,0.3917,0.3409,0.2565,0.2785,0.2698,0.2393,0.2565,0.5037,0.4611,0.2779,0.4418,0.1973,0.7362,0.406,0.5901,0.2509,0.2102,0.4945,0.1795,0.2099,0.3814,0.4984,0.3786
HI,0.1854,0.2306,0.2074,0.4228,0.6622,0.169,0.2026,0.1884,0.1493,0.3131,0.2244,1,0.19,0.1779,0.1071,0.2015,0.2182,0.2206,0.2354,0.1713,0.1922,0.1817,0.1964,0.1815,0.2237,0.1873,0.1916,0.2287,0.1994,0.1981,0.1871,0.3976,0.6859,0.4389,0.3345,0.1945,0.1993,0.1646,0.1989,0.153,0.2287,0.1823,0.2081,0.4749,0.1849,0.186,0.156,0.1804,0.1937,0.197,0.1848
IA,0.6755,0.57,0.6372,0.5061,0.2058,0.6293,0.4396,0.1803,0.5418,0.4785,0.4241,0.19,1,0.7583,0.4415,0.7957,0.7958,0.778,0.4881,0.4272,0.2025,0.7542,0.8149,0.8271,0.8098,0.4366,0.8343,0.6836,0.7511,0.7349,0.7194,0.2524,0.2605,0.3301,0.2556,0.8191,0.6137,0.7619,0.7837,0.5093,0.6048,0.7757,0.6707,0.2389,0.5791,0.6171,0.6139,0.6696,0.8531,0.7622,0.7116
ID,0.6705,0.5031,0.5733,0.5229,0.198,0.6063,0.3454,0.1509,0.405,0.4226,0.3685,0.1779,0.7583,1,0.3868,0.7373,0.7486,0.7117,0.4374,0.3607,0.1752,0.6197,0.6933,0.7308,0.7327,0.374,0.7301,0.5677,0.7152,0.7338,0.607,0.2125,0.2506,0.3598,0.2082,0.7167,0.6203,0.685,0.6851,0.4569,0.5073,0.7281,0.6172,0.2576,0.63,0.5013,0.4637,0.599,0.7263,0.6888,0.6809
IL,0.2375,0.153,0.1914,0.5208,0.2849,0.4926,0.5899,0.1001,0.5735,0.5311,0.2186,0.1071,0.4415,0.3868,1,0.3926,0.3504,0.3348,0.214,0.579,0.3788,0.4486,0.5644,0.5168,0.3928,0.1545,0.356,0.2932,0.3149,0.4203,0.5004,0.5445,0.1828,0.5152,0.5726,0.5184,0.1755,0.5152,0.5982,0.645,0.2178,0.3249,0.2419,0.184,0.4721,0.4944,0.4119,0.5991,0.536,0.3206,0.231
IN,0.6361,0.6368,0.6719,0.4718,0.2101,0.5614,0.3272,0.1787,0.4947,0.4857,0.516,0.2015,0.7957,0.7373,0.3926,1,0.7918,0.8017,0.547,0.3205,0.1908,0.6485,0.7695,0.7539,0.797,0.5056,0.7531,0.7396,0.7137,0.7087,0.6156,0.2252,0.2554,0.3349,0.2233,0.7811,0.6612,0.6834,0.7281,0.4315,0.6595,0.7348,0.732,0.2561,0.5443,0.5896,0.4672,0.5741,0.7647,0.764,0.6848
KS,0.7069,0.6004,0.6727,0.4685,0.2386,0.6522,0.3065,0.1814,0.3805,0.406,0.4438,0.2182,0.7958,0.7486,0.3504,0.7918,1,0.8019,0.48,0.3312,0.1809,0.6233,0.7086,0.7654,0.7977,0.4575,0.7767,0.6957,0.757,0.7137,0.6059,0.2259,0.2689,0.2839,0.2443,0.7384,0.7153,0.7241,0.6884,0.4153,0.6043,0.7754,0.7229,0.2384,0.5627,0.5696,0.4734,0.5922,0.7406,0.7521,0.7298
KY,0.6415,0.6874,0.7262,0.4335,0.2294,0.5389,0.2891,0.1903,0.4637,0.472,0.5428,0.2206,0.778,0.7117,0.3348,0.8017,0.8019,1,0.5754,0.2667,0.2141,0.6382,0.7413,0.7241,0.8097,0.5522,0.7792,0.78,0.7365,0.6684,0.6033,0.2378,0.2651,0.293,0.2423,0.7576,0.7129,0.6707,0.7086,0.3885,0.7134,0.753,0.7734,0.2404,0.4758,0.5741,0.4613,0.5288,0.7315,0.7856,0.7267
LA,0.2853,0.7016,0.5722,0.248,0.2209,0.2248,0.1894,0.1807,0.4749,0.3779,0.7645,0.2354,0.4881,0.4374,0.214,0.547,0.48,0.5754,1,0.2079,0.2502,0.3931,0.5557,0.4122,0.5765,0.7092,0.4303,0.6848,0.4533,0.3969,0.3115,0.2304,0.2405,0.2271,0.1957,0.54990000000000006,0.4845,0.3134,0.4807,0.184,0.7263,0.4474,0.6023,0.2373,0.2652,0.4827,0.2435,0.1888,0.466,0.5178,0.4327
MA,0.2482,0.1922,0.1776,0.4979,0.2926,0.5921,0.7038,0.2111,0.4766,0.436,0.2172,0.1713,0.4272,0.3607,0.579,0.3205,0.3312,0.2667,0.2079,1,0.4023,0.5187,0.4853,0.5304,0.3361,0.1904,0.391,0.2302,0.3403,0.3905,0.5865,0.6354,0.2232,0.4128,0.5522,0.4597,0.1929,0.5325,0.5515,0.5956,0.2038,0.3148,0.2013,0.19,0.4444,0.5105,0.5318,0.6036,0.5357,0.271,0.2727
MD,0.1649,0.2102,0.1681,0.2023,0.2147,0.2028,0.4166,0.501,0.4571,0.3773,0.2964,0.1922,0.2025,0.1752,0.3788,0.1908,0.1809,0.2141,0.2502,0.4023,1,0.2147,0.2885,0.2041,0.1991,0.1731,0.1862,0.235,0.195,0.1885,0.2522,0.5056,0.197,0.2126,0.5295,0.2248,0.1574,0.2131,0.3184,0.305,0.2215,0.1782,0.1833,0.1799,0.1791,0.4102,0.2449,0.1979,0.2271,0.1842,0.1476
ME,0.5157,0.463,0.49,0.4732,0.1962,0.5534,0.5876,0.1723,0.6045,0.5751,0.3173,0.1817,0.7542,0.6197,0.4486,0.6485,0.6233,0.6382,0.3931,0.5187,0.2147,1,0.7615,0.7625,0.6786,0.3292,0.7617,0.5908,0.61,0.6197,0.8179,0.3548,0.2569,0.3166,0.2686,0.7496,0.4423,0.7041,0.7833,0.5796,0.5289,0.6571,0.5448,0.2078,0.4152,0.6331,0.7506,0.6431,0.8086,0.656,0.6074
MI,0.5305,0.5877,0.6128,0.5309,0.2293,0.5673,0.533,0.1745,0.6963,0.6575,0.5259,0.1964,0.8149,0.6933,0.5644,0.7695,0.7086,0.7413,0.5557,0.4853,0.2885,0.7615,1,0.7933,0.799,0.4585,0.7558,0.7313,0.6597,0.6821,0.7319,0.3742,0.2662,0.4389,0.3564,0.869,0.5444,0.7438,0.8648,0.569,0.6688,0.6858,0.6575,0.2534,0.5352,0.7119,0.6123,0.6666,0.8562,0.7405,0.621
