state,p_decisive_vote
PA,1.0083990172532655e-7
WI,8.029405108904359e-8
MI,6.44020014296704e-8
NH,5.523914803581989e-8
NV,5.263320766438779e-8
MN,4.1211117720657145e-8
AZ,3.672117064994771e-8
FL,3.101898720773453e-8
NC,3.035973411704994e-8
GA,2.5464892422830743e-8
NM,1.61966362345003e-8
VA,1.3390129273054065e-8
TX,1.1351486665297052e-8
AK,1.0329313256177756e-8
ME,1.0126282163217847e-8
IA,8.391521969292418e-9
CO,6.535523972672777e-9
OH,3.872198360079496e-9
IL,2.5788506925534565e-9
RI,1.7670469987408792e-9
OR,1.7062802065611558e-9
MS,1.5745903945430208e-9
NJ,1.2827170587449232e-9
MT,1.2736472336323317e-9
CT,9.13752195667998e-10
DE,6.838945920820546e-10
SC,6.797024930775067e-10
LA,4.782839104376033e-10
MO,4.329503524319812e-10
WA,3.110523761677612e-10
KS,2.8857794488274833e-10
HI,2.714027764415188e-10
NY,2.640373976570166e-10
SD,1.9384766245773811e-10
NE,1.6998504238123024e-10
IN,1.6164879603853334e-10
MD,1.3705126928863042e-10
TN,1.1539342538348725e-10
AR,1.1273736101649576e-10
AL,1.1082622965902412e-10
CA,1.0434735034284152e-10
UT,9.337806980520003e-11
ND,5.886210915045767e-11
MA,5.132234772126425e-11
OK,4.0773814453176666e-11
VT,3.8248837919023114e-11
ID,3.119506280035043e-11
KY,2.2668299685719695e-11
WY,1.5385481814101598e-11
WV,8.246157553158982e-12
DC,3.630433786516232e-15
