"SAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Per capita personal income (Dollars) 2/" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"00000","United States",21090,21733,22575,23607,24771,25993,27557,28675,30657,31589,31832,32681,34251,35849,38114,39844,40904,39284,40547,42739,44605,44860,47071,48994,49890,51910,54526,56663
"01000","Alabama",17583,18129,18977,19892,20630,21516,22692,23352,24338,25104,25712,26693,28415,29832,31362,32598,33353,32608,33752,34995,35884,36110,37271,38650,39234,40473,42240,43880
"02000","Alaska *",24240,25036,25713,26399,26953,28185,29220,29892,31974,33517,34634,35841,36916,38919,41058,43861,47749,47069,49437,52384,53624,52722,55835,57586,56020,56800,59605,62102
"04000","Arizona",18309,18950,19869,20753,21737,22804,24176,24813,26235,26803,27149,28161,30012,32220,34686,35789,35563,33418,33638,34973,36132,36615,38246,39699,40697,42534,44414,46233
"05000","Arkansas",16438,16956,17758,18602,19458,20187,21222,21861,22762,23840,24266,25524,26924,28047,29438,31070,31940,31153,31927,33860,36239,36237,38264,39348,40155,41543,43292,44845
"06000","California",22678,23013,23581,24629,25912,27171,29100,30640,33364,34043,34214,35415,37369,39279,42088,43629,43890,42044,43636,46175,48813,49303,52363,55808,57801,60219,63711,66661
"08000","Colorado",21625,22639,23625,24995,26336,27675,29903,31477,34187,35023,34608,34935,35870,37841,40140,42024,42689,39982,40689,43575,45669,47311,50711,52147,52278,55374,58500,61348
"09000","Connecticut",28560,29417,30188,31780,33191,35228,37835,39693,43102,45223,44914,45254,47557,50035,53945,57861,61165,59973,62090,63799,64914,63555,66490,68295,69752,72224,76481,79087
"10000","Delaware",22814,23312,23922,24902,26227,27069,29479,31188,33907,36952,37693,38013,38970,39405,41041,41687,40722,40690,40825,43891,44077,44338,45993,47969,48520,50364,52599,54264
"11000","District of Columbia",29067,30349,31370,32077,33872,35739,38097,39563,43344,44695,45136,46047,50201,53186,56075,60028,61117,60448,63582,67419,68397,67923,71354,75423,77561,79058,82111,84538
"12000","Florida",20825,21641,22310,23496,24500,25378,26854,27678,29428,30344,30727,31704,33694,36011,38448,39602,39247,36611,38475,40131,41115,40696,43140,45321,45721,47899,50199,51989
"13000","Georgia",19360,20087,21090,22235,23475,24404,26159,27275,28861,29751,30111,30803,31960,33331,34687,35523,35175,34042,34521,36577,37254,37552,39802,41692,42705,44548,46519,48199
"15000","Hawaii *",24542,25133,25400,25788,25665,26334,26769,27809,29404,30347,31425,32603,34531,36594,38711,40605,42080,41352,41921,43532,44778,44961,47257,49495,51051,53138,55414,57450
"16000","Idaho",17640,18688,19368,20252,21058,21506,22816,23788,25235,25805,26247,26700,28197,29297,31431,32638,32722,31186,31957,33514,35190,36208,37905,39868,40683,42123,43994,45642
"17000","Illinois",22724,23317,24349,25633,27066,28422,29934,31024,33169,34230,34522,35039,36334,37793,40214,42381,43267,41042,42093,44140,46050,47124,49461,51541,52299,53974,56919,58935
