State,State_abb,Date,ECV,Days out from the Election,dem_poll_prob,fund_Prob,combine_probs
Rhode Island,RI,24-Sep,4,40,0.7155,0.929641358,0.822570679
South Carolina,SC,24-Sep,9,40,0.1725,0.19643323,0.184466615
South Dakota,SD,24-Sep,3,40,0.0755,0.013020918,0.044260459
Tennessee,TN,24-Sep,11,40,0.0615,0.319544468,0.190522234
Texas,TX,24-Sep,38,40,0.3135,0.18556533,0.249532665
Utah,UT,24-Sep,6,40,0.0855,0.37877746,0.23213873
Vermont,VT,24-Sep,3,40,0.9005,0.975480881,0.93799044
Virginia,VA,24-Sep,13,40,0.8665,0.74546123,0.805980615
Washington,WA,24-Sep,12,40,0.8885,0.977381984,0.932940992
West Virginia,WV,24-Sep,5,40,0.032,0.09967624,0.06583812
Wisconsin,WI,24-Sep,10,40,0.691,0.756583025,0.723791512
Wyoming,WY,24-Sep,3,40,0.0045,0.006693992,0.005596996
Alabama,AL,4-Oct,9,30,0.0365,0.132004383,0.074701753
Alaska,AK,4-Oct,3,30,0.1895,0.045289878,0.131815951
Arizona,AZ,4-Oct,11,30,0.6655,0.547332296,0.618232919
Arkansas,AR,4-Oct,6,30,0.0765,0.384865852,0.199846341
California,CA,4-Oct,55,30,0.9995,0.990503075,0.99590123
Colorado,CO,4-Oct,9,30,0.9215,0.774968199,0.86288728
Connecticut,CT,4-Oct,7,30,0.9195,0.917809834,0.918823934
Delaware,DE,4-Oct,3,30,0.884,0.966054366,0.916821746
District of Columbia,DC,4-Oct,3,30,0.991,0.995658298,0.992863319
Florida,FL,4-Oct,29,30,0.79,0.560039266,0.698015707
Georgia,GA,4-Oct,16,30,0.501,0.492344744,0.497537898
Hawaii,HI,4-Oct,4,30,0.9135,0.960233819,0.932193528
Idaho,ID,4-Oct,4,30,0.053,0.06905339,0.059421356
Illinois,IL,4-Oct,20,30,0.7905,0.980379475,0.86645179
Indiana,IN,4-Oct,11,30,0.091,0.21694777,0.141379108
Iowa,IA,4-Oct,6,30,0.264,0.353972678,0.299989071
Kansas,KS,4-Oct,6,30,0.116,0.086331508,0.104132603
Kentucky,KY,4-Oct,8,30,0.0045,0.245196768,0.100778707
Louisiana,LA,4-Oct,8,30,0.141,0.328407961,0.215963184
Maine,ME,4-Oct,4,30,0.8275,0.920177091,0.864570836
Maryland,MD,4-Oct,10,30,0.959,0.983556382,0.968822553
Massachusetts,MA,4-Oct,11,30,0.9855,0.982387198,0.984254879
Michigan,MI,4-Oct,16,30,0.9195,0.744675179,0.849570071
Minnesota,MN,4-Oct,10,30,0.9025,0.929820352,0.913428141
Mississippi,MS,4-Oct,6,30,0.143,0.137180359,0.140672144
Missouri,MO,4-Oct,10,30,0.0845,0.120384995,0.098853998
Montana,MT,4-Oct,3,30,0.088,0.0787406,0.08429624
Nebraska,NE,4-Oct,5,30,0.296,0.046977439,0.196390975
Nevada,NV,4-Oct,6,30,0.48,0.755575633,0.590230253
New Hampshire,NH,4-Oct,4,30,0.778,0.770472938,0.774989175
New Jersey,NJ,4-Oct,14,30,0.9,0.956705967,0.922682387
