State,State_abb,state_fips,Date,ECV,Days out from the Election,dem_poll_prob,fund_Prob,combine_probs
Illinois,IL,17,15-Aug,20,80,0.7905,0.980379475,0.961391527
Indiana,IN,18,15-Aug,11,80,0.123,0.21694777,0.207552993
Iowa,IA,19,15-Aug,6,80,0.3085,0.353972678,0.349425411
Kansas,KS,20,15-Aug,6,80,0.101,0.086331508,0.087798358
Kentucky,KY,21,15-Aug,8,80,0.0205,0.245196768,0.222727091
Louisiana,LA,22,15-Aug,8,80,0.196,0.328407961,0.315167165
Maine,ME,23,15-Aug,4,80,0.6205,0.920177091,0.890209382
Maryland,MD,24,15-Aug,10,80,0.897,0.983556382,0.974900743
Massachusetts,MA,25,15-Aug,11,80,0.9815,0.982387198,0.982298478
Michigan,MI,26,15-Aug,16,80,0.9545,0.744675179,0.765657661
Minnesota,MN,27,15-Aug,10,80,0.717,0.929820352,0.908538317
Mississippi,MS,28,15-Aug,6,80,0.242,0.137180359,0.147662323
Missouri,MO,29,15-Aug,10,80,0.1685,0.120384995,0.125196496
Montana,MT,30,15-Aug,3,80,0.0745,0.0787406,0.07831654
Nebraska,NE,31,15-Aug,5,80,0.2675,0.046977439,0.069029695
Nevada,NV,32,15-Aug,6,80,0.513,0.755575633,0.731318069
New Hampshire,NH,33,15-Aug,4,80,0.584,0.770472938,0.751825645
New Jersey,NJ,34,15-Aug,14,80,0.8695,0.956705967,0.94798537
New Mexico,NM,35,15-Aug,5,80,0.783,0.929873556,0.915186201
New York,NY,36,15-Aug,29,80,0.979,0.955163306,0.957546976
North Carolina,NC,37,15-Aug,15,80,0.5325,0.420459909,0.431663918
North Dakota,ND,38,15-Aug,3,80,0.036,0.012254962,0.014629466
Ohio,OH,39,15-Aug,18,80,0.3285,0.377368882,0.372481994
Oklahoma,OK,40,15-Aug,7,80,0.044,0.045801796,0.045621616
Oregon,OR,41,15-Aug,7,80,0.7145,0.984984842,0.957936358
Pennsylvania,PA,42,15-Aug,20,80,0.702,0.726190669,0.723771602
Rhode Island,RI,44,15-Aug,4,80,0.7155,0.929641358,0.908227222
South Carolina,SC,45,15-Aug,9,80,0.2325,0.19643323,0.200039907
South Dakota,SD,46,15-Aug,3,80,0.0755,0.013020918,0.019268826
Tennessee,TN,47,15-Aug,11,80,0.079,0.319544468,0.295490022
Texas,TX,48,15-Aug,38,80,0.25,0.18556533,0.192008797
Utah,UT,49,15-Aug,6,80,0.1015,0.37877746,0.351049714
Vermont,VT,50,15-Aug,3,80,0.9005,0.975480881,0.967982793
Virginia,VA,51,15-Aug,13,80,0.763,0.74546123,0.747215107
Washington,WA,53,15-Aug,12,80,0.8745,0.977381984,0.967093785
West Virginia,WV,54,15-Aug,5,80,0.032,0.09967624,0.092908616
Wisconsin,WI,55,15-Aug,10,80,0.7255,0.756583025,0.753474722
Wyoming,WY,56,15-Aug,3,80,0.0045,0.006693992,0.006474592
Alabama,AL,1,5-Aug,9,90,0.0955,0.132004383,0.132004383
Alaska,AK,2,5-Aug,3,90,0.1625,0.045289878,0.045289878
Arizona,AZ,4,5-Aug,11,90,0.588,0.547332296,0.547332296
Arkansas,AR,5,5-Aug,6,90,0.153,0.384865852,0.384865852
California,CA,6,5-Aug,55,90,0.99,0.990503075,0.990503075
Colorado,CO,8,5-Aug,9,90,0.8205,0.774968199,0.774968199
Connecticut,CT,9,5-Aug,7,90,0.776,0.917809834,0.917809834
Delaware,DE,10,5-Aug,3,90,0.7895,0.966054366,0.966054366
District of Columbia,DC,11,5-Aug,3,90,0.991,0.995658298,0.995658298
Florida,FL,12,5-Aug,29,90,0.7515,0.560039266,0.560039266
Georgia,GA,13,5-Aug,16,90,0.5035,0.492344744,0.492344744
Hawaii,HI,15,5-Aug,4,90,0.951,0.960233819,0.960233819
Idaho,ID,16,5-Aug,4,90,0.078,0.06905339,0.06905339
Illinois,IL,17,5-Aug,20,90,0.7905,0.980379475,0.980379475
Indiana,IN,18,5-Aug,11,90,0.1215,0.21694777,0.21694777
Iowa,IA,19,5-Aug,6,90,0.3605,0.353972678,0.353972678
Kansas,KS,20,5-Aug,6,90,0.093,0.086331508,0.086331508
Kentucky,KY,21,5-Aug,8,90,0.0115,0.245196768,0.245196768
Louisiana,LA,22,5-Aug,8,90,0.196,0.328407961,0.328407961
Maine,ME,23,5-Aug,4,90,0.5935,0.920177091,0.920177091
Maryland,MD,24,5-Aug,10,90,0.8905,0.983556382,0.983556382
Massachusetts,MA,25,5-Aug,11,90,0.9235,0.982387198,0.982387198
Michigan,MI,26,5-Aug,16,90,0.929,0.744675179,0.744675179
Minnesota,MN,27,5-Aug,10,90,0.654,0.929820352,0.929820352
Mississippi,MS,28,5-Aug,6,90,0.242,0.137180359,0.137180359
Missouri,MO,29,5-Aug,10,90,0.1665,0.120384995,0.120384995
Montana,MT,30,5-Aug,3,90,0.129,0.0787406,0.0787406
Nebraska,NE,31,5-Aug,5,90,0.255,0.046977439,0.046977439
Nevada,NV,32,5-Aug,6,90,0.487,0.755575633,0.755575633
New Hampshire,NH,33,5-Aug,4,90,0.566,0.770472938,0.770472938
New Jersey,NJ,34,5-Aug,14,90,0.8845,0.956705967,0.956705967
New Mexico,NM,35,5-Aug,5,90,0.7575,0.929873556,0.929873556
New York,NY,36,5-Aug,29,90,0.9775,0.955163306,0.955163306
North Carolina,NC,37,5-Aug,15,90,0.638,0.420459909,0.420459909
North Dakota,ND,38,5-Aug,3,90,0.0335,0.012254962,0.012254962
Ohio,OH,39,5-Aug,18,90,0.3275,0.377368882,0.377368882
Oklahoma,OK,40,5-Aug,7,90,0.044,0.045801796,0.045801796
Oregon,OR,41,5-Aug,7,90,0.7145,0.984984842,0.984984842
Pennsylvania,PA,42,5-Aug,20,90,0.6355,0.726190669,0.726190669
Rhode Island,RI,44,5-Aug,4,90,0.7155,0.929641358,0.929641358
South Carolina,SC,45,5-Aug,9,90,0.23,0.19643323,0.19643323
South Dakota,SD,46,5-Aug,3,90,0.0755,0.013020918,0.013020918
Tennessee,TN,47,5-Aug,11,90,0.077,0.319544468,0.319544468
Texas,TX,48,5-Aug,38,90,0.3165,0.18556533,0.18556533
Utah,UT,49,5-Aug,6,90,0.1315,0.37877746,0.37877746
Vermont,VT,50,5-Aug,3,90,0.9005,0.975480881,0.975480881
Virginia,VA,51,5-Aug,13,90,0.6995,0.74546123,0.74546123
Washington,WA,53,5-Aug,12,90,0.823,0.977381984,0.977381984
West Virginia,WV,54,5-Aug,5,90,0.032,0.09967624,0.09967624
Wisconsin,WI,55,5-Aug,10,90,0.587,0.756583025,0.756583025
Wyoming,WY,56,5-Aug,3,90,0.0045,0.006693992,0.006693992
